classification_notes,classification_viewOfferedOnMarriedWomensWork,classification_wasTheMarriedWomensWorkDiscussedIncontextOfMotherhood,classification_occupation,classification_skilled_unskilled,contextText,location_fromMOH,location_current,location_latitude,location_longitude,source_bNumber,source_fileName,source_url,searchCriteria_type,searchCriteria_bigram,searchCriteria_list1,searchCriteria_list2,time_year,xxx_notes,latitude,longitude
0,Not applicable/No view,Yes,Factory,Unskilled,"The appointment of qualified women with special reference to the hygiene and feeding of infants. The public supply of pure or specially prepared milk for the feeding of infants. Premature birth in relation to infantile mortality. Ante-Natal causes of infantile mortality, including parental alcoholism. The teaching of the hygiene of the expectant and suckling mother. Earlier notification or registration of births. On the earlier registration or notification of births. Infant life insurance. Infantile mortality and life insurance. Infant mortality and the employment of married women in factory labour before and after confinement. The regulation of the placing of infants out to nurse. The amendment of the Infant Life Protection Act. The chemistry of infant foods. Increase of the powers of local authorities with regard to milk supply. The operation of the Midwives Act in England, with a view to its extension to Scotland and Ireland, in relation to infantile mortality.",Hackney,Hackney,0,0,b19885428,Hackney.1906.b19885428.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19885428/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1906,0,51.552267,-0.063316
0,Not applicable/No view,Yes,"Laundry, Domestic Service",Unskilled,"The Company claimed to exclude from the scheme a number of minors of both sexes earning small weekly wages. It was contended on behalf of the Council that the said persons were not ""independent,"" their earnings being insufficient to keep them; they, moreover, residing with their families, and the fathers in several cases working ""within one mile"" of the houses. Most of these persons were retained in the scheme. 2. The Company claimed to exclude married women employed as laundresses, charwomen, &c., ""within one mile"" from their homes, on the ground that they must follow their husbands who are employed without the mile, and are the tenants of the rooms occupied by the family. Dissent from this view was expressed ; it being contended that as bona-fide workers ""within one mile,"" and ""having regard to all the circumstances of the case,"" these women were entitled to be provided for, and their families. In more than one such case the father was unemployed, and children were employed "" within one mile "" of the house.",Kensington,Kensington and Chelsea,0,0,b18111439,Kensington.1906.b18111439.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18111439/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1906,0,51.501207,-0.192219
0,Negative,No,Unspecified,Unspecified,"it could be overcome, the problem of lowering the rate of infantile mortality would be in a great measure solved. This ignorance is not limited to one section of the community, but the time and opportunities amongst the poor for gaining knowledge are far less, and they are seldom in a position to devote the same amount of care and attention to their children, even when they have the means to buy the requisite food and clothing, and to house their children under suitable conditions. Any general improvement in the conditions of employment, such as would obviate the necessity for married women working away from their homes, can only be brought about by slow degrees, and even then much must depend on the thrift and industry of the individual worker. In the meantime much may be done to remedy defective knowledge, firstly at the schools by instruction in the practice and principles of personal hygiene, and secondly by teaching the mothers at their homes and by lectures given at Mother's Meetings and other gatherings. ",Finchley,Barnet,0,0,b19790119,Finchley.1906.b19790119.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19790119/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1906,0,51.616027,-0.210017
,Not applicable/No view,Yes,"Laundry, Factory",Unskilled,"We have to consider what are the factors which compel artificial feeding, to what extent they can be obviated, and when artificial feeding becomes inevitable, can the conditions under which the artificial food is handled be improved. At the Census of 1901, there were 2,488 women employed in the laundries of the district. The number has considerably increased since then. There are at the present time 93 factory laundries registered, and 230 workshop laundries. In addition, about 300 women are employed as homeworkers. It is probably no exaggeration to state that 3,500 women are employed in the laundry industry alone, and of these about 1,500 are married women or widows. From inquiries made, it may be stated that one-third of the married women in the South-West Ward are employed in laundry work. In 1906, 724 births were registered in this ward, and in 1907, 671, so that in this ward alone there are over 200 children under one year of age who are, at any rate, to some extent, artifically fed, as a result of this one factor. These women are occupied in this employment, not from choice, but from necessity. But whatever may be the cause, whether it be physical or economic, we are face to face with this fact, that a large number of children are brought up, either wholly or partially on the bottle.",Acton,Ealing,0,0,b19783425,Acton.1907.b19783425.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19783425/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,More text would also be useful,51.522475,-0.331026
0,Neutral,Yes,Factory,Unskilled,"The relation of the industrial employment of married women to infantile mortality is a question that has been much discussed of late years. At one time it was thought that the employment of married women in factories and workshops was a very important cause of infantile mortality, but the evidence that has so far been adduced in support of this view is far from conclusive, and there is now a tendency to regard the industrial employment of married women as but a minor factor in the causation of infantile mortality. During 1907, the Home Secretary took steps to elicit some adequate information on this subject [...]",Hampstead,Camden,0,0,b18106420,Hampstead.1907.b18106420.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18106420/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,0,51.546394,-0.157424
0,Neutral,No,Outwork,Unskilled,"It will be seen that 214 home-workers' premises have been inspected, and 114 that 27 men and 217 women were found to be engaged in home work. Of the 27 men, about half were tailors, and the remainder were shoe-makers, umbrella makers, etc. Of the 217 women, 75 were widows or single women; these latter workers, generally speaking, work at greater pressure, owing to the fact that they are often entirely dependent upon such work for their livelihood. The greater number of the married women are obliged to work owing to the want of employment, or low wages, of the husband; a certain number of young married women and elderly married women, with few home duties, work from choice as well as for the extra money they are thus able to obtain. In some instances home work is taken in to assist in the support of an aged relative. ",Finsbury,Islington,0,0,b18106158,Finsbury.1907.b18106158.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18106158/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,0,51.548487,-0.110251
0,Not applicable/No view,Yes,Unspecified,"Unskilled, Skilled","Any artifical feeding being only a regrettable alternative to breast-feeding it is necessary to give a reason for 204 children admitted to the Depot in 1907 not being able to have their own natural food. The table below gives full particulars. It is to be noted that 153 mothers were unable to suckle on account of illness or entire loss of milk from other causes, and with 62 the 157 mother's milk was so poor that the child was wasting and its food had to be supplemented ; 7 were twin children. In only three cases of married women did the mother's occupation prevent her suckling, but 6 children were illegitimate and no doubt in most of these the mother was obliged to go to work to support herself. It must be remembered that the milk was never supplied to a child not already weaned without a doctor's certificate so there was no encouragement given to discontinue breast-feeding. ",Woolwich,Greenwich,0,0,b19823320,Woolwich.1907.b19823320.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19823320/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,0,51.474432,0.055547
0,Not applicable/No view,No,Factory,Unskilled,"The numbers employed are approximate only and probably understate the case. They refer to women only, with the exception of about 120 men working in their own homes. During the year enquiries into the following questions have been made: — The employment of married women in factories and workshops of the district. The living accommodation available for working women. ",StPancrasMetropolitanBorough,Camden,0,0,b18251900,StPancrasMetropolitanBorough.1907.b18251900.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18251900/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,Is there more information in the table that appears at the beginning of the extract?,51.546394,-0.157424
,Negative,Yes,Factory,Unskilled,"To cure a disease you must first find the cause. I have tried to indicate in the previous chapter the principal conditions which are associated with a high infant death-rate. The first of these is concerned with the physical well-being of the mother, and is, consequently, a social and economic problem of the first magnitude, towards which there are indications that the State is turning its attention. There can be little doubt but that a considerable proportion of the deaths of infants are due to industrial necessities, and that the employment of married women in factories is responsible for many of the deaths from prematurity and allied conditions. The recent conference on infantile mortality devoted a good deal of attention to this aspect of the question, and passed a resolution-demanding an amendment of the present Factory and Workshops Act, to extend the period during which a factory or workshop shall not ""knowingly"" employ a woman within four weeks after childbirth, to three months. It is clear, therefore, that measures which have for their object the physical welfare of the mothers must of necessity tend to raise the standard of motherhood, and thereby diminish the infantile mortality of the nation.",Battersea,Wandsworth,0,0,b18048390,Battersea.1907.b18048390.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18048390/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,0,51.451974,-0.186191
,Neutral,Yes,Factory,Unskilled,"the question of premature weaning, but under present social conditions it is doubtful if it is so important a factor in infantile mortality as it is somtimes represented to be. The Registrar General in his Report for 1905, discusses the question of Infantile Mortality and the employment of married women. He took two groups of fifteen towns, each containing respectively the lowest and the highest proportions of occupied married women, and compared their birth rate and infantile mortality in two quinquennia. The birth rate is, as might have been anticipated, lower in the towns having a high proportion of the married women industrially employed. The relationship between industrial employment of married women and infant mortality is however, not very visible. ",Acton,Ealing,,0,b19783437,Acton.1908.b19783437.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19783437/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1908,0,51.522475,-0.331026
0,Neutral,Yes,Outwork,Unskilled,"The home-workers themselves in our district are an industrious and deserving class. Some work at home because they are not young enough or not strong enough for factory conditions. Others work at home so as to supervise their families, and at the same time to earn some contribution to the support of parents or children. Others again work so as to keep in touch with the industrial world, and to keep their deftness of touch and general skill unimpaired. In the uncertainty of men's employment precaution of this kind on the part of married women out-workers is not without justification. Possibly these workers, who are not entirely dependent on their earnings from outwork may tend to bring down wages and so to injure those who work for their livelihood, but occasionally their partial independence enables them to refuse unfair terms, probably with good effect. ",StPancrasMetropolitanBorough,Camden,0,0,b18251912,StPancrasMetropolitanBorough.1908.b18251912.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18251912/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1908,0,51.546394,-0.157424
0,Not applicable/No view,Yes,Factory,Unskilled,"The inspection of workshops and workplaces occupies a large part of the time of the Inspectors, and especially of the two Lady Inspectors. Details of the defects found are set out in special tables, and particulars are also given relative to houses in which work is carried out by out-workers. The results of an enquiry on the effect of industrial employment on the health of married women and their children are mentioned. ",CityofWestminster,City of Westminster,0,0,b1824774x,CityofWestminster.1909.b1824774x.txt,https://dlcs.io/pdf/wellcome/pdf-item/b1824774x/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1909,Text also indicates there is more elsewhere in the report's tables - check manually,51.513444,-0.160467
0,Neutral,Yes,Factory,Unskilled,"Among the factors which are supposed to enter into the causation of infantile mortality, the industrial employment of married women ranks high in some quarters. Formerly, married female labour was almost universally held to be an etiological factor of preponderating importance, and the general tendency of legislation has been towards placing checks on the industrial employment of married women. It is very difficult to eradicate a fallacy which has originated in high quarters, and when a high authority asserted that the absence of the mother from the home, constitutes one of the greatest dangers to infant life, those unacquainted with the social, economic and sanitary circumstances of the industrial classes accepted the dictum in its entirety. The application of more precise methods of investigation has cast grave doubts on this view, and has called for a re-statement of the whole case. The Registrar-General in his report for 1905, discusses the question of Infantile Mortality, and the employment of married women. He took two groups of 15 towns, each containing respectively the lowest and the highest proportions of occupied married women, and compared their birth-rate and infantile mortality in two quinquennia. The birth-rate is, as might have been anticipated, lower in the towns having a high proportion of the married women industrially employed. The relationship between industrial employment of married women and infantile mortality is, however, not very visible. [...] In this district, poverty is the chief cause of married female labour. The mothers go to work, not from choice, but from necessity. It is doubtful if work is injurious to the expectant mother, provided it be not heavy or prolonged. The improved food and greater comfort, which this work means, should more than counteract its disadvantages.",Stepney,Tower Hamlets,0,0,b19822728,Stepney.1909.b19822728.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19822728/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1909,More text would also be useful from the end,51.515741,-0.034662
0,Neutral,Yes,"Factory, Domestic Service, Laundry",Unskilled,"Employment of Married Women in relation to Child-birth—It will be remembered that, as far back as 1907, several communications were received from the Home Office with regard to a proposed enquiry into the employment of married women both before and after child-birth, which was about to be organised throughout the various districts of England and Wales; and the Home Secretary expressed a hope that the Public Heatlh Department of this Borough would be able to co-operate. In order that the Inquiry throughout the country should be of a uniform character, it was decided that investigations should only extend to births registered in 1908; but since it was desirable to complete the records of the first year of life, the enquiry could not be concluded before the end of 1909. In accordance, therefore, with the instructions [...]",Chelsea,Kensington and Chelsea,0,0,b18106304,Chelsea.1909.b18106304.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18106304/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1909,More text needed too at the end of this extract. Maybe 100 extra words?,51.501207,-0.192219
0,Neutral,Yes,"Factory, Domestic Service",Unskilled,"In my Annual Report for the year 1907 particulars Were given of ail inquiry, instituted at the suggestion of the Home Secretary, on the relation of the industrial employment of married women to infantile 33 mortality. The object of the inquiry was to keep a number of children under observation during the first twelve months of life, with a view to ascertain, among other things, how the infants of mothers employed industrially compared with those of mothers not fo employed. The inquiry was prosecuted in a large number of districts, under the direction of the respective Medical Officers of Health, and the results forwarded to the Home Office to be collated and published in a complete form. The Home Office has not yet issued the complete results, but [....] ",Hampstead,Camden,0,0,b18106456,Hampstead.1910.b18106456.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18106456/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1910,need more text - maybe 100 words at end,51.546394,-0.157424
0,Negative,Yes,Laundry,Unskilled,"It may be argued that these are subjects which are best learnt in the home, but very few of the girls have mothers who are in a position to give them efficient training in home mangement. This is especially the case in Acton where 3,500 women are employed in the laundry industry alone, and of these about 1,500 are married women or widows. About one-third of the married women in the South-West Ward are employed in laundry work, often the mothers do not come home in the middle of the day, or they have no time or energy to prepare a proper meal for themselves or their children. Under these circumstances a creche is almost a necessity, for in the South-West Ward alone there are about 200 babies under 12 months of age placed out with neighbours during the day, and the conditions under which they are cared for is extremely unsatisfactory. ",Acton,Ealing,0,0,b19783450,Acton.1910.b19783450.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19783450/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1910,0,51.522475,-0.331026
0,Not applicable/No view,No,Midwifery,Skilled,"The fee a midwife receives for attending a confinement and the subsequent visiting for 10 days varies in different localities from 5s. per case upwards, but usually a fee of 7s. 6d. to 10s. is expected. The charities employing midwives pay 5s. or 6s. a case, and provide the midwife with registers, forms, antiseptics, etc. It is apparent from the number of cases taken by midwives and the small fees paid that very few can rely solely on their practice as a means of livelihood. Many of them are married women who do not trouble to obtain a large practice, a few keep lying-in homes ; others, especially those with a fairly large practice, are approved by the Central Midwives Board to give practical instruction to pupils preparing for the Board's examination. The pupil resides with the midwife and goes with her to cases. The fees for pupils are usually about £1 Is. per week, which includes board and lodging in addition to the practical instruction civen bv the midwife.",LondonCountyCouncil,London County Council,0,0,b18252606,LondonCountyCouncil.1911.b18252606.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18252606/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1911,0,0,0
0,Neutral,Yes,Factory,Unskilled," A few years ago it was frequently stated and believed that the industrial employment of married women was one of the most important direct factors in the causation of infantile mortality in large towns. Owing to investigations carried out in certain large towns, it is now possible to approach this portion of the subject with greater accuracy than formerly. Although the number of cases investigated are not so large as could be desired, certain results have been obtained which cast some doubt upon the direct influence exerted by the industrial employment of women in producing excessive infantile mortality.f",Acton,Ealing,0,0,b19783462,Acton.1911.b19783462.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19783462/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1911,More text needed too - another 100 words?,51.522475,-0.331026
0,Negative,Yes,Factory,Unskilled,"The infantile mortality is greatest in districts having the highest proportion of married women industrially employed. Such employment must necessarily involve some neglect of the home, and especially of any young children. ",Stepney,Tower Hamlets,0,0,b19822765,Stepney.1913.b19822765.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19822765/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1913,0,51.515741,-0.034662
0,Not applicable/No view,No,Midwifery,Skilled,"The fee a midwife receives for attending a confinement and for the subsequent 10 days' visiting varies in different localities from 5s. per case upwards, but usually a fee of 7s. 6d. to 10s. is expected. The charities employing midwives pay 5s. or 6s. a case, and provide the midwife with registers, forms, antiseptics, etc. It is apparent from the number of cases taken by midwives and the small fees paid that very few can rely solely on their practice as a means of livelihood. Many of them are married women who do not trouble to obtain a large practice; a few keep lying-in homes ; others, especially those with a fairly large practice, are approved by the Central Midwives Board to give practical instruction to pupils preparing for the Board's examination. The pupil resides with the midwife and goes with her to cases. The fees for pupils are usually about £1 1s. per week, which includes board and lodging in addition to the practical instruction given bv the midwife.",LondonCountyCouncil,London County Council,0,0,b1825262x,LondonCountyCouncil.1913.b1825262x.txt,https://dlcs.io/pdf/wellcome/pdf-item/b1825262x/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1913,0,0,0
0,Negative,Yes,Factory,Unskilled,"I do not think it is possible to improve upon the concise summary which the Medical Officer gives in that part of the Report which deals with the Special Conditions associated with high Infant Mortality. 1. The relative importance of the many factors concerned in causing excessive infant and child mortality is difficult to assess; these factors are not identical for all districts. In this part of the present report special stress has been laid upon the factors of defective sanitation and housing, the removal of which is within the control of Sanitary 2. The industrial employment of married women must necessarily involve some neglect of the home, and especially of any young children. 3. Conservancy systems of disposal of excreta are very commonly associated with excessive infant mortality. 4. The smallest incidence of disease, especially of diarrhœal diseases, occurs usually in districts supplied with water-closets. 5. In the history of several towns the conversion of a conservancy into a water-carriage system has been associated with a great reduction of mortality from diarrhceal diseases; whilst in other towns the continuance of conservancy systems has been associated with continued high diarrhceal mortality.",Finchley,Barnet,0,0,b19790156,Finchley.1913.b19790156.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19790156/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1913,0,51.616027,-0.210017
0,Not applicable/No view,No,"Laundry, Domestic Service",Unskilled,"Although in some cases it has not been easy to determine the past or present occupations of some 111 of the 220 Heads of families, they may be roughly classified as follows:— Men 125 in unskilled labour (of whom few are in regular employment. 19 in skilled trades. 21 costers or general dealers. 10 organ grinders or professional beggars. 12 no occupation or unknown. 2 agents for the property. 189 Total As quite a number of these men are from various causes habitually out of work, or do only occasionally wood chopping or costering, there are in consequence 47 married women who either supplement their wages or who are the real wage earners of the family. About half of these women work at laundries and the rest are employed charring, or similar work. There are also 36 widows or deserted wives who support their families in the following ways:— 18 work in laundries or do charing, etc. 2 have small shops. 5 are costers or professional beggars. Thus out of 226 families, 93 are seen to be mainly, if not entirely dependant on the work of the women. ",Fulham,Hammersmith and Fulham,0,0,b18110885,Fulham.1913.b18110885.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18110885/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1913,0,51.49501,-0.220789
0,Not applicable/No view,No,Unspecified,Unspecified," The Census of Occupations gives the proportion of (industrially) occupied married women as 95 per 1,000 of all occupied women.",Heston,Hounslow,0,0,b19969764,Heston.1914.b19969764.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19969764/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1914,0,51.468495,-0.366134
0,Negative,Yes,Factory,Unskilled,"and I do not think it is possible to improve upon the concise summary which the Medical Officer gives in that part of the Report- which deals with the Special Conditions associated with high Infant Mortality. 1. The relative importance of the many factors concerned in causing excessive infant and child mortality is difficult to assess; these factors are not identical for all districts. In this part of the present report special stress has been laid upon the factors of defective sanitation and housing, the removal of which is within the control of Sanitary Authorities. 2. The industrial employment of married women must necessarily involve some neglect of the home, and especially of any young children. 28 3. Conservancy systems of disposal of excreta are very commonly associated with excessive infant mortality. 4. The smallest incidence of disease, especially of diarrhœal diseases, occurs usually in districts supplied with water-closets. 5. In the history of several towns the conversion of a conservancy into a water-carriage system has been associated with a great reduction of mortality from diarrhœal diseases; whilst in other towns the continuance of conservancy systems has been associated with continued high diarrhœal mortality.",Finchley,Barnet,0,0,b19790168,Finchley.1914.b19790168.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19790168/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1914,0,51.616027,-0.210017
0,Negative,Yes,Factory,Unskilled,"Table are the results of observations taken at the Royal Observatory, Greenwich. 10. Industrial employment of many of our women in the borough is probably one of the important influences at work, for it is obvious that girls and young women who are employed in industrial work for many hours daily have but little time to make themselves practically familiar with the very numerous, and often apparently unimportant matters, which make all the difference between a well-ordered home and one which lacks the influence of a capable mother. Nevertheless, to what extent and in what manner the industrial employment of married women affects the infantile mortality is still a matter of discussion. Under present social conditions, the harmful effects are partly counteracted by the greater comfort and increased nourishment which such employment enables the mother to secure. ",Deptford,Lewisham,0,0,b18123697,Deptford.1914.b18123697.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18123697/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1914,0,51.448284,-0.02029
0,Negative,Yes,Factory,Unskilled,"The close relationship between factory work for married women and excessive mortality from child-bearing is indicated. Although dogmatism as to causation is not justified, and the need for further intensive inquiry is suggested by the facts under each heading, Dr. Newsholme says the presumption is justified that better arrangements for ante-natal care and for midwifery attendance would go far to reduce the mortality from child-bearing. ",Deptford,Lewisham,0,0,b18123703,Deptford.1915.b18123703.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18123703/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1915,0,51.448284,-0.02029
0,Not applicable/no view,Yes,Factory,Unskilled," DAY AND NIGHT NURSERY EOR CHILDREN OF MUNITION WORKERS. As instructed by the General Purposes Committee I beg to report on the above subject. The Matron of the Women Workers at the Perivale Fuse Filling Factory brought under my notice the difficulty of obtaining and retaining the services of married women at this factory on account of their inability to make arrangements for the care of their children. She informed me that there were approximately 1,800 women workers in the factory now, and that when the buildings were completed and the factory full, there would be not less than 4,000 to 5,000 women workers. Enquiries made by her amongst the women now employed at the factory showed that at the present time there were 26 who would leave 30 children to be looked after by day, and a similar number by night, and the Matron was of opinion that the next draft of women would contain a greater proportion of married with children. 98 Strictly there is no power to enable the Council to establish a Day or Night Nursery, but the present emergency is being considered by the Local Government Board whom I have consulted and who are favourable to the establishment of such nurseries.",Willesden,Brent,0,0,b19796699,Willesden.1916.b19796699.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19796699/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1916,Get the following 15 words or so for this entry,51.558556,-0.267821
0,Negative,Yes,"Factory, Unspecified",Unskilled,"I would like the Committee to get clearly in. their minds that a child is a living unit from the time that conception occurs in the mother's womb. It will therefore be readily understood and conceded that everything that helps the mother helps the child. The first problem then is how can the mother be helped. There are many methods. There should be no industrial employment of women before and for some time after childbirth. Indeed it would be to the national advantage if there were no employment of married women who are rearing families. The mother during the period of bearing and nursing the child must be well fed. Willesden has recognised this fact and has provided hot and wholesome mid-day meals for expectant and nursing mothers. 907 such meals were provided during the eight weeks since the Committee last met. Medical advice should be available for the mother during pregnancy and a Municipal Antenatal Clinic has been established at 9, Willesden Lane, for expectant mothers. This has proved a boon and is being increasingly made use of. ",Willesden,Brent,0,0,b19796705,Willesden.1917.b19796705.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19796705/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1917,0,51.558556,-0.267821
0,Not applicable/no view,Yes,Unspecified,Unspecified,"The sanitary conditions of the district are all favourable, there are no slums, no back to back houses, plenty of open spaces and fresh air, there are no industries employing married women to any large extent, and work has been fairly plentiful so that with the exception of that due to the strike of moulders there has been very little unemployment. ",Erith,Bexley,0,0,b19789713,Erith.1919.b19789713.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19789713/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1919,0,51.46088,0.142359
0,Neutral,Yes,Factory,Unskilled,"Industrial employment of many of our women in the borough is probably one of the important influences at work, for it is obvious that girls and young women who are employed in industrial work for many hours daily have but little time to make themselves practically familiar with the very numerous, and often apparently unimportant matters, which make all the difference between a well-ordered home and one which lacks the influence of a capable mother. Nevertheless, to what extent and in what manner the industrial employment of married women affects the infantile mortality is still a matter of discussion. Until the present improved social conditions of the bread winner the harmful effects were partly counteracted by the greater comfort and increased nourishment which such employment enabled the mother to secure. The mortality from prematurity and congenital defects is higher in the East Ward of Deptford than in the remainder of the Borough and greater than the average of some other large towns. ",Deptford,Lewisham,0,0,b18123740,Deptford.1919.b18123740.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18123740/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1919,0,51.448284,-0.02029
0,Not applicable/no view,No,"Teaching, Nursing",Skilled,"Cases specially referred. These referred cases relate to leave granted to employees absent owing to personal illness; to cases in which questions have arisen in regard to students in institutions for higher education whose health is considered such as to render exceptional attention advisable; to teachers returning to duty after extended leave of absence (a) owing to personal illness, (b) for educational purposes, (c) to married women under No. 31 of the regulations in regard to the education service; to teachers about to be superannuated; to teachers demobilised from the Forces who applied for special consideration owing to wounds, etc.; and to cases in which claims were received from teachers and others in the permanent service for exceptional treatment as regards sick pay and re-imbursement of medical and other expenses in respect of illnesses alleged to be due to the conditions under which they were required to carry out their duties.",LondonCountyCouncil,London County Council,0,0,b18252679,LondonCountyCouncil.1919.b18252679.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18252679/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1919,0,0,0
0,Not applicable/no view,No,Laundry,Unskilled,"The oldest industry, and at one time the most important, and almost the sole one, is the laundry industry. This industry has been established in the district for nearly half a century, and absorbs a large number of workers. In August 1915, there were 1048 single and 1640 married women employed in the laundry industry. It is probable that this number was exceeded ten years ago, and it is likely that at the present time fewer persons are employed than in 1915. The introduction of labour saving machinery has had the effect of closing most of the hand laundries, and this fact alone would account for a diminished number of employees. But it is also possible that less work is now done in the laundries of the district than was the case ten years ago. ",Acton,Ealing,0,0,b19783498,Acton.1919.b19783498.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19783498/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1919,0,51.522475,-0.331026
0,Not applicable/no view,No,Teaching,Skilled,"Cases specially referred. There are also referred to the Public Health Department cases in relation to employees in the Education Service absent owing to personal illness ; questions in regard to students in institutions for higher education whose health is considered such as to render exceptional attention advisable ; cases of teachers returning to duty after extended leave of absence (a) owing to personal illness ; (b) for educational purposes ; (c) to married women under No. 31 of the Regulations in regard to the Education Service; cases of teachers about to be superannuated; applications for special consideration owing to wounds, etc., of teachers demobilised from the Forces ; and claims received from teachers and others in the permanent service for exceptional treatment as regards sick pay and re-imbursement of medical and other expenses in respect of illnesses alleged to be due to the conditions under which they may have been required to carry out their duties. ",LondonCountyCouncil,London County Council,0,0,b18244105,LondonCountyCouncil.1920.b18244105.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18244105/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1920,0,0,0
0,Negative,Yes,"Teaching, Unspecified","Unskilled, Skilled","To take over temporarily their infants from the mothers enables the latter to give their undivided attention to the health-talks of the Lady Superintendent, Miss A. Bintcliffe, who was appointed in April, 1921. These little talks, now resumed, will benefit the loving, but ignorant, mothers immensely. I hope that the horrid spectacle of babies sucking "" dumb teats "" will never be seen again in our Centres. Married Women's Labour.—Ever since I have had women officers on my staff, they have been instructed to advise all married women to let the care of the home, husband and children, take the first place in their life-work and therefore not to attempt work which necessitates their absence from the home for long periods of each day. Shocking examples of neglect of this advice too frequently come under my notice in connection with dirty homes and verminous and neglected children. This teaching has been continued up-to-date, but it is difficult for myself and officers to enforce in Edmonton, when it is common knowledge that my Council itself employs married women amongst the school teachers.",Edmonton,Enfield,0,0,b19788721,Edmonton.1920.b19788721.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19788721/0,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1920,Need more text here too - end section is very relevant,51.650995,-0.087272
