classification_notes,classification_viewOfferedOnMarriedWomensWork,classification_wasTheMarriedWomensWorkDiscussedIncontextOfMotherhood,classification_occupation,classification_skilled_unskilled,contextText,location_fromMOH,location_current,location_latitude,location_longitude,source_bNumber,source_fileName,source_url,searchCriteria_type,searchCriteria_bigram,searchCriteria_list1,searchCriteria_list2,time_year,xxx_notes,location_mohPlace
0,Negative,Yes,"Domestic Service, Factory, Laundry",0.0,"obtained in 1905, with an average of nine cases per week. It would appear that about 25 per cent. of the births are attended by registered midwives, but as the available statistics cover a short period only, the conclusions can hardly be taken as final. The majority of the infants are breast fed, at all events for the first few weeks. Only a comparatively small number of mothers in this district go to work regularly and leave their children in charge of others. As there are few factories and laundries in the neighbourhood as compared with other districts further west, married women have limited opportunity of getting work other than as domestic servants or charwomen, so there would appear to be little inducement for them to do so. In some cases, however, mothers, who would otherwise have been able to nurse their infants, were obliged to partially wean them in order to go to work. The percentage of those who did so was increased during the winter quarter, the period which corresponded to the time when the 45 greatest number of men were out of employment. The mothers of illegitimate children are almost invariably obliged to go to work, so",Chelsea,Kensington and Chelsea,51.501207,-0.192219,b18044578,Chelsea.1905.b18044578.txt,http://wellcomelibrary.org/item/b18044578,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1905,0,"Chelsea (London, England)"
0,Negative,Yes,Factory,0.0,"hoped that this cause may soon no longer exist. The average level of the streets is 6ft. below Trinity high water mark. This must mean that the ground is to a large extent waterlogged, and that ground air is forced into those houses not sufficiently protected with concrete, twice daily. A large part of the ground, too, was made up with house refuse, and consequently the soil and ground air is impure. Owing to the existence of large factories employing female labour in the Borough, and in the adjoining part of West Ham, it is probable that the number of married women employed away from home exceeds that in the whole Borough. This would mean more hand-fed children and more Diarrhoea. The Lady Inspector is giving special attention to this district, and an improvement is to be anticipated before long. 69. The rate in Eltham exceeded that in the Borough, for the first time since 1901. 70. Voluntary Notification of Zymotic Enteritis was instituted during the summer quarter, and a full report on the results obtained is found in an appendix, with the method adopted and action taken in notified cases. The following leaflet is given to the mother of",Woolwich,Greenwich,51.474432,0.055547,b19823307,Woolwich.1905.b19823307.txt,http://wellcomelibrary.org/item/b19823307,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1905,0,"Woolwich (London, England)"
0,Not applicable/no view,Yes,"Factory, Unspecified",0.0,"authority to charge the former with the cost of a suitable maintenance, with the farther liability in case of default of being placed in a labour establishment under State supervision until the debt is worked off."" A departmental committee on vagrancy has recently been collecting evidence concerning labour colonies, and I think the Council would do well to have before it that committee's report before expressing any opinion. With regard to public nurseries, the recommendation needs to be considered in connection with recommendation (44), which is as follows— (44) Creches. ""Wherever it was thought desirable, owing to the employment of married women in factories or for other reasons, to establish municipal creches, girls over 14 might be made to attend occasionally and the teaching of infant management to such girls should be eligible for aid from the grant for public education."" A report on creches prepared by the chief officer of the Public Control department was printed by order of the Public Control Committee on 8th July, 1904. That report and recommendation (44) have already been considered by the Education Committee, who state in a memorandum, dated 5th April, 1905, addressed to the Public Health Committee, that they have informed",LondonCountyCouncil,London County Council,0.0,0.0,b18252540,LondonCountyCouncil.1905.b18252540.txt,http://wellcomelibrary.org/item/b18252540,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1905,0,London (England)
0,Not applicable/no view,Yes,"Factory, Unspecified",0.0,"think, be taken as showing the need for creche accommodation; but more and better organised means are necessary to grapple successfully with the problem. This is being realized by certain local authorities; and already one authority on the outskirts of London (Acton) has endeavoured to obtain Parliamentary powers, to establish a creche, whilst several of the more important corporations in the country are considering the question. The Committee call attention to the fact that the Inter-Departmental Committee on Physical Deterioration, in their report, made a recommendation to the effect that, whenever it was thought desirable, owing to the employment of married women in factories, or for other reasons, to establish municipal creches, girls over 14 might be made to attend occasionally, and that the teaching of infant management to such girls should be eligible for aid from the grant for public education. Public money could not be more usefully expended! The Committee recommended, (a) That the standing order (No. 1G1), limiting the period for considering applications to Parliament, be suspended, so far as may be necessary to enable the Council to consider their recommendations with regard to the provision and maintenance of creches in the County of London; (b) That",Kensington,Kensington and Chelsea,51.501207,-0.192219,b18111427,Kensington.1905.b18111427.txt,http://wellcomelibrary.org/item/b18111427,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1905,0,"St. Mary Abbotts (Kensington, London, England)"
0,Neutral,No,Outwork,0.0,"premises have been visited, and that 55 men and 351 women were found to be engaged in home work. Seventeen of these premises were reported to the Home Office as ""Domestic Workshops,"" (i.e. a 164 workshop where only resident members of the same family are employed). Of the 55 men, 33 were tailors, and 22 were shoemakers, umbrella makers, &c. Of the 351 women, 120 were widows or single women ; these latter workers, generally speaking, work at greater-pressure owing to the fact that they are often entirely dependent upon such work for their livelihood. The greater number of the married women are obliged to work owing to the want of employment, or low wages, of the husband; a certain number of young married women and elderly married women, with few home duties, work from choice as well as for the extra money they are thus able to obtain. In some instances home work is taken in to assist in the support of an aged relative. From the table (p. 165), it will be seen that over 80 per cent. of the home workers live in 1, 2 or 3 room tenements, and the majority being married women, mostly with",Finsbury,Islington,51.548487,-0.110251,b1804461x,Finsbury.1905.b1804461x.txt,http://wellcomelibrary.org/item/b1804461x,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1905,0,"Finsbury (London, England)"
0,Not applicable/No view,Yes,Factory,0.0,"the Conference :— The teaching in schools of elementary hygiene in reference to the rearing of infants. The appointment of qualified women with special reference to the hygiene and feeding of infants. The public supply of pure or specially prepared milk for the feeding of infants. Premature birth in relation to infantile mortality. Ante-Natal causes of infantile mortality, including parental alcoholism. The teaching of the hygiene of the expectant and suckling mother. Earlier notification or registration of births. On the earlier registration or notification of births. Infant life insurance. Infantile mortality and life insurance. Infant mortality and the employment of married women in factory labour before and after confinement. The regulation of the placing of infants out to nurse. The amendment of the Infant Life Protection Act. The chemistry of infant foods. Increase of the powers of local authorities with regard to milk supply. The operation of the Midwives Act in England, with a view to its extension to Scotland and Ireland, in relation to infantile mortality. 14 As a result of the discussion of the foregoing subjects the following resolutions were passed by the Conference:— 1. That the Education Department be urged to add instruction in elementary hygiene with",Hackney,Hackney,51.552267,-0.063316,b19885428,Hackney.1906.b19885428.txt,http://wellcomelibrary.org/item/b19885428,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1906,0,"Hackney (London, England) Borough Council"
0,Not applicable/No view,Yes,"Laundry, Domestic Service",0.0,"cases which gave rise to divergences of opinion— some of which were settled, others being reserved for the decision of the Local Government Board. 1. The Company claimed to exclude from the scheme a number of minors of both sexes earning small weekly wages. It was contended on behalf of the Council that the said persons were not ""independent,"" their earnings being insufficient to keep them; they, moreover, residing with their families, and the fathers in several cases working ""within one mile"" of the houses. Most of these persons were retained in the scheme. 2. The Company claimed to exclude married women employed as laundresses, charwomen, &c., ""within one mile"" from their homes, on the ground that they must follow their husbands who are employed without the mile, and are the tenants of the rooms occupied by the family. Dissent from this view was expressed ; it being contended that as bona-fide workers ""within one mile,"" and ""having regard to all the circumstances of the case,"" these women were entitled to be provided for, and their families. In more than one such case the father was unemployed, and children were employed "" within one mile "" of the house. 3.",Kensington,Kensington and Chelsea,51.501207,-0.192219,b18111439,Kensington.1906.b18111439.txt,http://wellcomelibrary.org/item/b18111439,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1906,0,"St. Mary Abbotts (Kensington, London, England)"
0,Negative,No,Unspecified,0.0,"it could be overcome, the problem of lowering the rate of infantile mortality would be in a great measure solved. This ignorance is not limited to one section of the community, but the time and opportunities amongst the poor for gaining knowledge are far less, and they are seldom in a position to devote the same amount of care and attention to their children, even when they have the means to buy the requisite food and clothing, and to house their children under suitable conditions. Any general improvement in the conditions of employment, such as would obviate the necessity for married women working away from their homes, can only be brought about by slow degrees, and even then much must depend on the thrift and industry of the individual worker. In the meantime much may be done to remedy defective knowledge, firstly at the schools by instruction in the practice and principles of personal hygiene, and secondly by teaching the mothers at their homes and by lectures given at Mother's Meetings and other gatherings. Instruction in hygiene is already being given in 17 the public elementary schools in the district, and 1 find that during the past year a course",Finchley,Barnet,51.616027,-0.210017,b19790119,Finchley.1906.b19790119.txt,http://wellcomelibrary.org/item/b19790119,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1906,0,"Finchley (London, England)"
0,Not applicable/No view,Yes,"Laundry, Unspecified",0.0,"the factors which compel artificial feeding, to what extent they can be obviated, and when artificial feeding becomes inevitable, can the conditions under which the artificial food is handled be improved. At the Census of 1901, there were 2,488 women employed in the laundries of the district. The number has considerably increased since then. There are at the present time 93 factory laundries registered, and 230 workshop laundries. In addition, about 300 women are employed as homeworkers. It is probably no exaggeration to state that 3,500 women are employed in the laundry industry alone, and of these about 1,500 are married women or widows. From inquiries made, it may be stated that one-third of the married women in the South-West Ward are employed in laundry work. In 1906, 724 births were registered in this ward, and in 1907, 671, so that in this ward alone there are over 200 children under one year of age who are, at any rate, +.o some extent, artifically fed, as a result of this one factor. These women are occupied in this employment, not from choice, but from necessity. But whatever may be the cause, whether it be physical or economic, we are face",Acton,Ealing,51.522475,-0.331026,b19783425,Acton.1907.b19783425.txt,http://wellcomelibrary.org/item/b19783425,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,More text would also be useful,"Acton (London, England)"
0,Neutral,Yes,Factory,0.0,"deaths whose sub-district or any part thereof is situate within any area in which this Act is adopted shall at all reasonable times have access to notices of births received by the Medical Officer of Health under this Act, or to any book in which those notices may be recorded, for the purpose of obtaining information concerning births which may have occurred in his sub-district. (5). This section shall apply to any child which has issued forth from its mother after the expiration of the twenty-eighth week of pregnancy, whether alive or dead. The relation of the industrial employment of married women to infantile mortality is a question that has been much discussed of late years. At one time it was thought that the employment of married women in factories and workshops was a very important cause of infantile mortality, but the evidence that has so far been adduced in support of this view is far from conclusive, and there is now a tendency to regard the industrial employment of married women as but a minor factor in the causation of infantile mortality. During 1907, the Home Secretary took steps to elicit some adequate information on this subject, and on",Hampstead,Camden,51.546394,-0.157424,b18106420,Hampstead.1907.b18106420.txt,http://wellcomelibrary.org/item/b18106420,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,0,"Hampstead (London, England)"
0,Neutral,No,Outwork,0.0,"by the Lady Sanitary Inspectors, and the result is set out in the table on p. 116. It will be seen that 214 home-workers' premises have been inspected, and 114 that 27 men and 217 women were found to be engaged in home work. Of the 27 men, about half were tailors, and the remainder were shoe-makers, umbrella makers, etc. Of the 217 women, 75 were widows or single women; these latter workers, generally speaking, work at greater pressure, owing to the fact that they are often entirely dependent upon such work for their livelihood. The greater number of the married women are obliged to work owing to the want of employment, or low wages, of the husband; a certain number of young married women and elderly married women, with few home duties, woirk from choice as well as for the extra money they are thus able to obtain. In some instances home work is taken in to assist in the support of an aged relative. The Council's duties in regard to the home work provisions of the Factory and Workshop Act, 1901 (Sections 107-114), concern four points, viz.:—(1) outworkers' lists, (2) the communication of the addresses of outworkers to",Finsbury,Islington,51.548487,-0.110251,b18106158,Finsbury.1907.b18106158.txt,http://wellcomelibrary.org/item/b18106158,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,0,"Finsbury (London, England)"
0,Not applicable/No view,Yes,Unspecified,0.0,"coming ox Depot. Any artifical feeding being only a regrettable alternative to breast-feeding it is necessary to give a reason for 204 children admitted to the Depot in 1907 not being able to have their own natural food. The table below gives full particulars. It is to be noted that 153 mothers were unable to suckle on account of illness or entire loss of milk from other causes, and with 62 the 157 mother's milk was so poor that the child was wasting and its food had to be supplemented ; 7 were twin children. In only three cases of married women did the mother's occupation prevent her suckling, but 6 children were illegitimate and no doubt in most of these the mother was obliged to go to work to support herself. It must be remembered that the milk was never supplied to a child not already weaned without a doctor's certificate so there was no encouragement given to discontinue breast-feeding. Social Condition of Parents. The social condition of the parents who came to the Depot for milk is best indicated by the number of rooms occupied by each family. Out of ""295 cases in which information was obtained, 14",Woolwich,Greenwich,51.474432,0.055547,b19823320,Woolwich.1907.b19823320.txt,http://wellcomelibrary.org/item/b19823320,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,0,"Woolwich (London, England)"
0,Not applicable/No view,No,Factory,0.0,"317 77 l 1 l Nil. Other Workshops 385 2862 134 6 5 l Domestic Workshops 69 148 12 .. .. .. Home Workplaces 267 267 270 1 1 .. .. Restaurant Kitchens 158 337 11 2 1 .. .. Other Duties .. .. 486 .. .. .. .. Totals .. 7004 1063 10 9 2 .. The numbers employed are approximate only and probably understate the case. They refer to women only, with the exception of about 120 men working in their own homes. During the year enquiries into the following questions have been made: — The employment of married women in factories and workshops of the district. The living accommodation available for working women. The cleansing of schools. The voluntarily notified cases of consumption, with special reference to industrial conditions affecting the disease. A separate report on consumption appears in that section of your Report dealing with the question. Throughout the year I have given much attention to the connection of the Children's Baths and the Schools. The Baths have done excellent and much appreciated work for the children of the Borough. Every effort is made that the treatment may be as effectual, as educational, and as kindly",StPancrasMetropolitanBorough,Camden,51.546394,-0.157424,b18251900,StPancrasMetropolitanBorough.1907.b18251900.txt,http://wellcomelibrary.org/item/b18251900,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,Is there more information in the table that appears at the beginning of the extract?,"St. Pancras, Metropolitan Borough"
0,Negative,Yes,Factory,0.0,"being due to this cause. 33 Preventive Methods. To cure a disease you must first find the cause. I have tried to indicate in the previous chapter the principal conditions which are associated with a high infant death-rate. The first of these is concerned with the physical well-being of the mother, and is, consequently, a social and economic problem of the first magnitude, towards which there are indications that the State is turning its attention. There can be little doubt but that a considerable proportion of the deaths of infants are due to industrial necessities, and that the employment of married women in factories is responsible for many of the deaths from prematurity and allied conditions. The recent conference on infantile mortality devoted a good deal of attention to this aspect of the question, and passed a resolution-demanding an amendment of the present Factory and Workshops Act, to extend the period during which a factory or workshop shall not ""knowingly"" employ a woman within four weeks after childbirth, to three months. It is clear, therefore, that measures which have for their object the physical welfare of the mothers must of necessity tend to raise the standard of motherhood, and thereby",Battersea,Wandsworth,51.451974,-0.186191,b18048390,Battersea.1907.b18048390.txt,http://wellcomelibrary.org/item/b18048390,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1907,0,"Battersea (London, England)"
0,Neutral,Yes,Factory,0.0,"the question of premature weaning, but under present social conditions it is doubtful if it is so important a factor in infantile mortality as it is somtimes represented to be. The Registrar General in his Report for 1905, discusses the question of Infantile Mortality and the employment of married women. He took two groups of fifteen towns, each containing respectively the lowest and the highest proportions of occupied married women, and compared their birth rate and infantile mortality in two quinquennia. The birth rate is, as might have been anticipated, lower in the towns having a high proportion of the married women industrially employed. The relationship between industrial employment of married women and infant mortality is however, not very visible. In the first group of towns, having only 4 to 8 per cent. of its married women engaged in occupations, the infant mortality in 1901-5 varied from 104 in Burton-on-Trent to 202 in Aberdare, the average for the 15 towns being 161; in the second group of towns having from 20 to 39 per cent. of its married women engaged in occupations, the infant mortality varied from 140 in Rochdale to 206 in Longton, the average for the 15 towns",Acton,Ealing,51.522475,-0.331026,b19783437,Acton.1908.b19783437.txt,http://wellcomelibrary.org/item/b19783437,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1908,0,"Acton (London, England)"
0,Neutral,Yes,Outwork,0.0,"other persons of the same earning capacity. The home-workers themselves in our district are an industrious and deserving class. Some work at home because they are not young enough or not strong enough for factory conditions. Others work at home so as to supervise their families, and at the same time to earn some contribution to the support of parents or children. Others again work so as to keep in touch with the industrial world, and to keep their deftness of touch and general skill unimpaired. In the uncertainty of men's employment precaution of this kind on the part of married women out-workers is not without justification. Possibly these workers, who are not entirely dependent on their earnings from outwork may tend to bring down wages and so to injure those who work for their livelihood, but occasionally their partial independence enables them to refuse unfair terms, probably with good effect. The usual clerical work accompanying the work of inspection, including notices, notifications, reports, registers, etc., etc., has been done. I am, Sir, Your obedient Servant, M. E. Bibby, Sanitary Inspector of Workshops (Women). 101 Woman Inspector's Work ONLY. FACTORIES, WORKSHOPS, LAUNDRIES, WORKPLACES, AND HOMEWORK. 1.—Inspection. Including Inspections made by",StPancrasMetropolitanBorough,Camden,51.546394,-0.157424,b18251912,StPancrasMetropolitanBorough.1908.b18251912.txt,http://wellcomelibrary.org/item/b18251912,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1908,0,"St. Pancras, Metropolitan Borough"
0,Not applicable/No view,Yes,Factory,0.0,"The Council has continued the special attention it has given for some years to the purity of the food sold in the City and the sanitary condition of the places in which it is prepared. The inspection of workshops and workplaces occupies a large part of the time of the Inspectors, and especially of the two Lady Inspectors. Details of the defects found are set out in special tables, and particulars are also given relative to houses in which work is carried out by out-workers. The results of an enquiry on the effect of industrial employment on the health of married women and their children are mentioned. I regret to have to record the loss sustained by the Department by the death of Inspector Folland, an able and conscientious officer. His place has been filled by the appointment of Mr. H. E. Hardy, who was a sanitary inspector under the Wandsworth Borough Council. I desire to express my appreciation of the able assistance I have received from all the staff in the work of the Department. I have the honour to be, Mr. Mayor, my Lords and Gentlemen, Your obedient servant, FRANCIS J. ALLAN, Medical Officer of Health. March, 1910.",CityofWestminster,City of Westminster,51.513444,-0.160467,b1824774x,CityofWestminster.1909.b1824774x.txt,http://wellcomelibrary.org/item/b1824774x,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1909,Text also indicates there is more elsewhere in the report's tables - check manually,"City of Westminster (London, England). County Council"
0,Neutral,Yes,Factory,0.0,"deaths of illegitimate children during the year, or at the rate of 306 per 1,000 illegitimate births. 12 belonged to the Limehouse District, or at the rate of 375 per 1,000 illegitimate births. 12 belonged to St. George-in-the-East, or at the rate of 285 per 1,000 illegitimate births. 21 belonged to Mile End Old Town, or at the rate of 318 per 1,000 illegitimate births. 9 belonged to the Whitechapel District, or at the rate of 250 per 1,000 illegitimate births. 29 Among the factors which are supposed to enter into the causation of infantile mortality, the industrial employment of married women ranks high in some quarters. Formerly, married female labour was almost universally held to be an etiological factor of preponderating importance, and the general tendency of legislation has been towards placing checks on the industrial employment of married women. It is very difficult to eradicate a fallacy which has originated in high quarters, and when a high authority asserted that the absence of the mother from the home, constitutes one of the greatest dangers to infant life, those unacquainted with the social, economic and sanitary circumstances of the industrial classes accepted the dictum in its entirety. The application",Stepney,Tower Hamlets,51.515741,-0.034662,b19822728,Stepney.1909.b19822728.txt,http://wellcomelibrary.org/item/b19822728,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1909,More text would also be useful from the end,"Stepney (London, England)"
0,Neutral,Yes,"Factory, Domestic Service, Laundry",0.0,"at the nominal payment of Id. per head, has continued throughout the year under the direction of Mrs. W. E. Gordon and her friends. The total number of dinners provided was 13,241, the mothers being eligible three months before confinement, and 9 months after, if still nursing. Very satisfactory results have been obtained, both as regards the health of the mothers and of the infants. Employment of Married Women in relatioti to Child-birth—It will be remembered that, as far back as 1907, several communications were received from the Home Office with regard to a proposed enquiry into the employment of married women both before and after child-birth, which was about to be organised throughout the various districts of England and Wales; and the Home Secretary expressed a hope that the Public Heatlh Department of this Borough would be able to co-operate. In order that the Inquiry throughout the country should be of a uniform character, it was decided that investigations should only extend to births registered in 1908; but since it was desirable to complete the records of the first year of life, the enquiry could not be concluded before the end of 1909. In accordance, therefore, with the instructions",Chelsea,Kensington and Chelsea,51.501207,-0.192219,b18106304,Chelsea.1909.b18106304.txt,http://wellcomelibrary.org/item/b18106304,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1909,More text needed too at the end of this extract. Maybe 100 extra words?,"Chelsea (London, England)"
0,Neutral,Yes,"Factory, Domestic Service",0.0,"week day except Saturday, and any eligible woman with a proper recommendation may avail herself of this on payment of twopence. Some of the women are unable to pay even this small sum, and arrangements have been made for them to be supplied with free dinner tickets by health visitors and other responsible persons. 537 newly-born infants were visited by the lady inspectors during 1910, and 711 re-visits were paid. In my Annual Report for the year 1907 particulars Were given of ail inquiry, instituted at the suggestion of the Home Secretary, on the relation of the industrial employment of married women to infantile 33 mortality. The object of the inquiry was to keep a number of children under observation during the first twelve months of life, with a view to ascertain, among other things, how the infants of mothers employed industrially compared with those of mothers not fo employed. The inquiry was prosecuted in a large number of districts, under the direction of the respective Medical Officers of Health, and the results forwarded to the Home Office to be collated and published in a complete form. The Home Office has not yet issued the complete results, but those of",Hampstead,Camden,51.546394,-0.157424,b18106456,Hampstead.1910.b18106456.txt,http://wellcomelibrary.org/item/b18106456,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1910,need more text - maybe 100 words at end,"Hampstead (London, England)"
0,Negative,Yes,Laundry,0.0,"know how to use it to the best advantage and how also what goods to get, their prices and how to combine them ; in fact, all the things which make the difference between a well-kept and a badly-kept house. 108 It may be argued that these are subjects which are best learnt in the home, but very few of the girls have mothers who are in a position to give them efficient training in home mangement. This is especially the case in Acton where 3,500 women are employed in the laundry industry alone, and of these about 1,500 are married women or widows. About one-third of the married women in the South-West Ward are employed in laundry work, often the mothers do not come home in the middle of the day, or they have no time or energy to prepare a proper meal for themselves or their children. Under these circumstances a creche is almost a necessity, for in the South-West Ward alone there are about 200 babies under 12 months of age placed out with neighbours during the day, and the conditions under which they are cared for is extremely unsatisfactory. Since 1908 a creche has been established",Acton,Ealing,51.522475,-0.331026,b19783450,Acton.1910.b19783450.txt,http://wellcomelibrary.org/item/b19783450,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1910,0,"Acton (London, England)"
0,Not applicable/No view,No,Midwifery,0.0,"two Italian midwives in practice in London. Fees charged by Midwives. Ihe fee a midwife receives for attending a confinement and the subsequent visiting for 10 days varies in different localities from 5s. per case upwards, but usually a fee of 7s. 6d. to 10s. is expected. The charities employing midwives pay 5s. or 6s. a case, and provide the midwife with registers, forms, antiseptics, etc. It is apparent from the number of cases taken by midwives and the small fees paid that very few can rely solely on their practice as a means of livelihood. Many of them are married women who do not trouble to obtain a large practice, a few keep lying-in homes ; others, especially those with a fairly large practice, are approved by the Central Midwives Board to give practical instruction to pupils preparing for the Board's examination. The pupil resides with the midwife and goes with her to cases. The fees for pupils are usually about £1 Is. per week, which includes board and lodging in addition to the practical instruction civen bv the midwife. Maternity charity. Many midwives are employed in Poor Law Infirmaries, and a large proportion of the 3,000 confinements in",LondonCountyCouncil,London County Council,0.0,0.0,b18252606,LondonCountyCouncil.1911.b18252606.txt,http://wellcomelibrary.org/item/b18252606,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1911,0,London (England)
0,Neutral,Yes,Factory,0.0,"mortality was 36 per 1,000' births higher than in 1910. Compared with 1910, the infantile mortality was higher in all the wards. The diseases which showed the greatest increase in the number of deaths were Diarrhœeal Diseases and Measles. Therewas a slight increase also in the number of deaths from Prematurity and Congenital Debility. There were 37 deaths from Prematurity and 23 from Atrophy,. Debility and Marasmus. These are the two groups of cases which are usually supposed to be affected by antenaital causes. A few 43 years ago it was frequently stated and believed that the industrial employment of married women was one of the most important direct factors in the causation of infantile mortality in large towns Owing to investigations carried out in certain large towns, it is now possible to approach this portion of the subject with greater accuracy than formerly. Although the number of cases investigated are not so large as could be desired, certain results have been obtained which cast some doubt upon the direct influence exerted by the industrial employment of women in producing excessive infantile mortality. Section 61 of the Factory and Workshop Act, 1901, makes it an offence for the occupier of",Acton,Ealing,51.522475,-0.331026,b19783462,Acton.1911.b19783462.txt,http://wellcomelibrary.org/item/b19783462,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1911,More text needed too - another 100 words?,"Acton (London, England)"
0,Negative,Yes,Factory,0.0,"to child life. (4) The number of still births. (5) The quality of the help given at birth. Want of skilled care at birth may bear an important part in the number of deaths from accidents of child-birth. (6) The age of the mother. Excessive infant mortality is often ascribable in part to too early motherhood, with its associated inexperience and possible carelessness. (7) Poverty and social condition. Infant mortality is higher among the poor and lowest among the well-to-do. 64 (8) The non-domestic employment of married women. The infantile mortality is greatest in districts having the highest proportion of married women industrially employed. Such employment must necessarily involve some neglect of the home, and especially of any young children. (9) Poverty is a direct cause of infant mortality where it induces malnutrition of mother or infant, or where it implies that the mother cannot give adequate care to the infant. (10) Poverty is also an important indirect cause of infant mortality. Its influence is exercised in the following among other ways:— (a) Poverty is not infrequently associated with ignorance and carelessness. (b) With these are commonly associated overcrowding and uncleanliness. (c) Alcoholic habits frequently result from living under conditions",Stepney,Tower Hamlets,51.515741,-0.034662,b19822765,Stepney.1913.b19822765.txt,http://wellcomelibrary.org/item/b19822765,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1913,0,"Stepney (London, England)"
0,Not applicable/No view,No,Midwifery,0.0,"79 Report of the County Medical Officer—General. Fees charged by midwives. The fee a midwife receives for attending a confinement and for the subsequent 10 days' visiting varies in different localities from 5s. per case upwards, but usually a fee of 7s. 6d. to 10s. is expected. The charities employing midwives pay 5s. or 6s. a case, and provide the midwife with registers, forms, antiseptics, etc. It is apparent from the number of cases taken by midwives and the small fees paid that very few can rely solely on their practice as a means of livelihood. Many of them are married women who do not trouble to obtain a large practice; a few keep lying-in homes ; others, especially those with a fairly large practice, are approved by the Central Midwives Board to give practical instruction to pupils preparing for the Board's examination. The pupil resides with the midwife and goes with her to cases. The fees for pupils are usually about £1 1s. per week, which includes board and lodging in addition to the practical instruction given bv the midwife. Maternity charities. Many midwives are employed in Poor Law Infirmaries, and a large proportion of the 3,000 confinements in",LondonCountyCouncil,London County Council,0.0,0.0,b1825262x,LondonCountyCouncil.1913.b1825262x.txt,http://wellcomelibrary.org/item/b1825262x,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1913,0,London (England)
0,Negative,Yes,Factory,0.0,"Mortality, and I do not think it is possible to improve upon the concise summary which the Medical Officer gives in that part of the Report which deals with the Special Conditions associated with high Infant Mortality. 1. The relative importance of the many factors concerned in causing excessive infant and child mortality is difficult to assess; these factors are not identical for all districts. In this part of the present report special stress has been laid upon the factors of defective sanitation and housing, the removal of which is within the control of Sanitary 2. The industrial employment of married women must necessarily involve some neglect of the home, and especially of any young children. 28 3. Conservancy systems of disposal of excreta are very commonly associated with excessive infant mortality. 4. The smallest incidence of disease, especially of diarrhœal diseases, occurs usually in districts supplied with water-closets. 5. In the history of several towns the conversion of a conservancy into a water-carriage system has been associated with a great reduction of mortality from diarrhceal diseases; whilst in other towns the continuance of conservancy systems has been associated with continued high diarrhceal mortality. 6. Unpaved yards and streets and",Finchley,Barnet,51.616027,-0.210017,b19790156,Finchley.1913.b19790156.txt,http://wellcomelibrary.org/item/b19790156,bigram + list of terms,"married,women","employment,employed,employee,work,working,worked,job,occupation",None,1913,0,"Finchley (London, England)"
