classification_notes,classification_viewOfferedOnMarriedWomensWork,classification_wasTheMarriedWomensWorkDiscussedIncontextOfMotherhood,classification_occupation,contextText,location_fromMOH,location_current,location_latitude,location_longitude,source_bNumber,source_fileName,source_url,searchCriteria_type,searchCriteria_bigram,searchCriteria_list1,searchCriteria_list2,time_year,xxx_notes,latitude,longitude
0,Positive,No,Midwifery,"that they should receive £25 a year in addition to the scale already mentioned. To encourage midwives in the employment of the Council to improve their status in the profession and thereby be of more value to the Council's Scheme, an additional increment of £10 a year should be granted to any midwife obtaining the teacher's certificate or an increment of £25 a year if she is ultimately employed in training pupils. 38 Appointment of married women. The Minister of Health in his Circular draws special attention to the fact that many authorities have a rule prohibiting the employment of married women and trusts that when first selecting midwives for salaried posts, the local authority will, where necessary, so revise this rule as to enable them to have regard only to their efficiency as midwives, subject, of course, to their ability to undertake whole-time employment. In view of this recommendation by the Minister it is suggested that in respect of the first appointments to the service married women at present in practice in the area be considered, subject to their ability to undertake whole-time employment. Payment of Allowances, provision of equipment, etc. The Council should pay an allowance in respect",0,Ealing,51.51879311,-0.321253933,b19787960,Ealing.1936.b19787960.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19787960/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1936,0,51.522475,-0.331026
0,Neutral,Yes,Laundry,"done in bag-washers and other closed containers, and then passed through the hydro-extractors operated by men. Married female labour was largely utilised, but this has not been eliminated by present conditions. Although most of the work has become mechanised, some of the processes still require an extensive experience as well as individual skill, and some of the most experienced and skilful are married women. This need for marieed female labour operates in diverse ways: it has its attendant evils as well as its economic advantages to the families concerned. the Day Nursery was established to meet the demands of the married women who worked in the laundries, and from its continued popularity, it shows that the demand still exists. Though Nursery 9 classes have been established, in some of the schools in the neighbourhood, the Day Nursery still works to capacity, and there is always a waiting list. Although the Day Nursery was established by a voluntary body, it was looked upon with sympathy, and supported by the Council's Health Committee, because it was believed that the conditions under which the babies were being minded, contributed to the high infantile mortality of the South-West Ward in those days. The necessity",0,Ealing,51.51879311,-0.321253933,b19783668,Acton.1936.b19783668.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19783668/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1936,0,51.522475,-0.331026
0,Neutral,Yes,"Factory, Laundry, Outwork","to conform with the necessary restrictions. We are not now discussing the relative advantages and disadvantages of the Day Nursery to those which obtain in the home. The Day Nursery may be only second best compared with a good home. It is a moot point if mothers should be encourraged to go into factories; is it a disadvantage to the children and also the mother benefit from factory life? The extra money is 2 temptation, but the home of the outdoor worker under the best of conditions presents a serious social problem. In some industrial encouragement is given to young married women to return to factories; they are the more experienced and expert workers, and requests are frequently made for their return, especially at rush periods. This is especially true of the laundry industry, but far as our figures go, the same conditions do not apply in the factories in North Acton. In the southern part of the district especially, in spite the Day Nursery and the eight nursery classes, there are children who are being minded in private houses, and on account of the conditions mentioned, this state of affairs is likely to cen for some time. For the",0,Ealing,51.51879311,-0.321253933,b19783681,Acton.1938.b19783681.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19783681/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1938,0,51.522475,-0.331026
0,Not applicable/No view,Yes,War work (WWII),"with milk under the Milk (Mothers and Children) Order, 1918. The cost to the Council was £55 14s. 5d. Grants are made to the Southwark Diocesan Association towards the maintenance of unmarried mothers in their institutions. Grants of £125 3s. 9d. have been made during the year. 19 children have been sent to Convalescent Homes, at a cost to the Council of £89 4s. 0d. 235 children under school age suffering from minor ailments were referred to the London County Council for treatment. The cost to the Borough Council was £55 14s. 0d. War Time Nurseries. A considerable number of married women who registered under the National Services Act stated they would be prepared to do work of national importance. As many of these women had young children some provision was required to be made for their care during the mothers' working hours. In May, 1941, the Ministry of Health and the President of the Board of Education issued circulars Nos. 2388 and 1553 on the subject. These circulars directed local authorities to provide war time nurseries in their area if the Ministry of Labour and National Service had come to the conclusion from the facts at Sanitary Supervision of",0,Wandsworth,51.45489502,-0.1842080392,b18250993,Wandsworth.1941.b18250993.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18250993/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1941,0,51.451974,-0.186191
0,Not applicable/No view,No,War work (WWII),"grave shortage of nursing staff throughout the country and the gradual and continual withdrawal for national needs of experienced men and women of all grades, the hospitals staff have, by working longer hours in some cases, by more intensive application in others, and by cheerful acceptance generally of wartime stress and strain, successfully carried out their task of providing treatment for a substantial proportion of the sick population of the County of London. The methods which were adopted to meet the shortage of staff arising from wartime conditions, e.g., employment of women as substitutes for porters and laundrymen, employment of married women and of staff generally beyond the normal 16 age of retirement, to which reference is made in my Interim Report for 1941, have continued to be applied throughout the year. There have been a number of vacancies which could not be filled at once—amounting on an average to about five per cent. of the total positions. These vacancies increased during the winter months when a high proportion of staff were absent on account of sickness. As practically no casual labour was available, some of the hospitals were seriously short of domestic staff and had to work at times",0,London County Council,0.0,0.0,b18252874,LondonCountyCouncil.1942.b18252874.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18252874/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1942,0,0.0,0.0
0,Not applicable/No view,Yes,War work (WWII),"(chiefly measles, whooping cough and pneumonia.) 46 Mother not at work 31 Removals 23 Child alleged to be fretting 18 Child now attending school 5 Miscellaneous reasons... ... 29 Withdrawal of Children. Since the Nurseries were opened (i.e. during the first year), some 152 children, who were accepted for admission and were actually in attendance, have been withdrawn. 37 Attendances of Children. It was somewhat unfortunate that the nurseries were opened at a time when measles, scarlet fever, whooping cough and chicken pox were epidemic. In spite of the fact that the prime function of these nurseries is to release married women for industry, there are certain fundamental public health precautionary measures (e.g., exclusion of children with infectious or suspiciously infectious illness ; quarantine, etc.) which must be enforced in the public interest even although their enforcement may keep the mothers at home for a time. Infectious disease and its prevention in a day nursery is a serious problem requiring constant vigilant attention if the nursery is to be kept from degenerating into a hotbed of infection. The following figures show the average attendances throughout the year. It should be realised that a few months elapsed before each Nursery received",0,Waltham Forest,51.5995121,-0.012551846,b1979289x,Leyton.1943.b1979289x.txt,https://dlcs.io/pdf/wellcome/pdf-item/b1979289x/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1943,0,51.594033,-0.01264
0,Not applicable/No view,No,Domestic service,"or puerperal pyrexia. Home Helps. The revised Home Help scheme operating during the year 1944 has provided domestic assistance for 28 households as compared with 8 only during the previous year. The main features of the new scheme are, the increase in the rate of pay from an all-in payment of 30/- per week to an hourly rate of l/6d.; the arrangements supervised by a Home Help Organiser, and a reduction in the hours worked to those necessary only to carry out the essential domestic work of the house—generally from four to six per day—thus enabling a greater number of married women to take up this work. Enemy attack, evacuation and competition from superior priorities in the labour field have made the year a difficult one both in actual operation and in valuation of experience upon which to base future developments. Sterilised Maternity Outfits. Sterile outfits in sealed containers for use at confinements may be had from the Welfare Centres or from the Council's midwife. They are supplied at cost price, and in necessitous cases at half price or free of cost according to means. During the year 33 outfits Avere supplied at cost price. Dental Scheme. The demand for",0,Merton,51.40771484,-0.1815079413,b19882683,MertonandMorden.1944.b19882683.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19882683/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1944,0,51.40995,-0.197252
0,Not applicable/No view,Yes,Unspecified,"On the 10th December 1945, there were, however, only 118 insured persons without employment registered at the Barking Employment Exchange. The demand for labour has been greatly in excess of the supply but the importation of labour from other regions has not been possible, except in small numbers, owing to the difficulty in securing lodging accommodation in this and adjacent areas. A marked feature of industry during the war years has been the services rendered by married women, who were called upon to assist in the national effort. During the latter part of 1945, there was a visible tendency for married women to leave industry, due no doubt to increasing domestic responsibilities consequent upon the return of evacuee children and men returning home from the Forces. During the year, work was commenced at a site in Thames Road on the erection of a new Government Training Centre for training building trade workers. This Centre will be completed during 1946 and will provide for about 600 trainees at a time. 25 (e) Travelling Facilities. Time and time again, particularly, of course, before the war, I have made adverse comments on the facilities for travelling to and from Barking, and I do",0,Barking and Dagenham,0.0,0.0,b19784351,Barking.1945.b19784351.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19784351/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1945,0,51.54396,0.13317
0,Not applicable/No view,Yes,Unspecified,"of the scheme necessitated the removal from the nurseries of a number of children whose parents had no prior claims in order to provide vacancies for those on the waiting list with such claims. This procedure which naturally aroused a little feeling was initiated at the end of 1946 and satisfactorily completed early in 1947. The categories entitling to preference in the allocation of nursery vacancies are as follow:— Separated or deserted wives. Widows. Unmarried mothers. Married women whose husbands are unemployed, or frequently ill and unable to work full time. Married women with husbands in the forces. Applications from married women whose husbands are in full-time employment are dealt with on their merits (the husband's earnings being one of the factors considered) when vacancies not required by the 21 priority groups are available. Accommodation is also made available when mothers have to undergo medical treatment in hospital or in cases of urgent domestic difficulties. SCHOOL HEALTH SERVICE. The County Medical Officer has kindly furnished me with the following statistics giving the results of the medical inspection of school children in the borough: Children examined 3,272 Bethnal Green. Per cent London (Average) Per cent. Clothing and Boots: Good 2,105 64.33",0,Tower Hamlets,51.51153374,-0.0262977788,b18236777,BethnalGreenMetropolitanBorough.1946.b18236777.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18236777/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1946,0,51.515741,-0.034662
0,Negative,Yes,Unspecified,"extension is to be given official recognition in the definition of the functions of the health visitor in the new Health Service Act. Her outlook is more sociological than clinical. Authorities provide day nurseries. The administration of these nurseries falls to the welfare committee in that it is the committee which has to be responsible for the arrangements for ensuring the health and well-being of the children but this is more the concern of the staff, whereas what concerns the committee more is the justification for the nurseries which leads to the discussion of such problems as the employment of married women and the country's drive for export. Again the domestic help service is not so very far removed from a domestic service agency, and while the service 5 deals with conditions closely related to the health or the sickness of the community the trend is the growth of a social welfare rather than a health, and certainly rather than a preventive health, service. The vital statistics for the year were very satisfactory, and as these are the only standards we have for assessing the health of a community we can assume that the health of the district was good.",0,Harrow,51.59336281,-0.3332945406,b19824476,Harrow.1946.b19824476.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19824476/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1946,0,51.597723,-0.341267
0,Not applicable/No view,No,Outwork,"is used and 26 visits to other factories. Factories where Women are Employed.—Since the termination of the war there has been some diminution in the employment of women. As a general rule employers continue to show an increased interest in the welfare of their women workers, although their efforts are hampered by the general shortage of necessary material. Outworkers.—Premises where homework is carried on were visited on 30 occasions by the Woman Inspector. No case of Infectious Disease was reported during the year. It is significant 33 to note that the number of Outworkers has increased, which indicates that many married women with home ties prefer to work in their own time. The majority of the homes inspected were found to be very satisfactory. Disinfestation of Verminous Premises.—The work of disinfestation of verminous houses has continued on the lines noted upon in previous Reports. The Sanitary Inspectors dealt with 181 cases where the rooms were either verminous or dirty; in addition the Disinfestation Staff sprayed 481 rooms and contents with vermicidal fluid, whilst in 24 cases bedding, etc., was removed to the Council's Disinfecting Station and treated by steam disinfection. Aged, Infirm and Physically Incapacitated Persons.— Cases of infirm persons",0,Greenwich,51.46269798,0.0473282225,b18237666,Greenwich.1946.b18237666.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18237666/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1946,0,51.474432,0.055547
0,Not applicable/No view,No,"Medicine, Nursing","with the utmost difficulty that a reasonable standard of efficiency was maintained. When the flying-bomb attack developed in 1944-45, the hospitals sustained further damage. Child-patients and chronic sick patients, together with nursing staff, were evacuated from London to hospitals administered by other authorities, and four hospitals were opened by the Council in the provinces with staff of all grades, mostly transferred from London. This increased the difficulties and it became necessary to resort to the recruitment of persons not normally eligible for employment, e.g., aliens and staff beyond the normal age of retirement; to extend the fields of employment of married women and part-time workers; and to employ women on work hitherto done by men. Return of staff from war service With the conclusion of the war, 322 members of the permanent staff returned by the end of 1945, and a further 706 by the end of 1946; 72 members of the staff were 58 killed in action or died on war service, apart from those killed in London by bombs. Except for a few who have not yet been demobilised, the remainder resigned their positions to take up other forms of work. Staffing position after the war The acute",0,London County Council,0.0,0.0,b18252904,LondonCountyCouncil.1946.b18252904.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18252904/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1946,0,0.0,0.0
0,Not applicable/No view,Yes,Not applicable,"1/'- per child per day. The attendance of children on Saturdays was poor, and only Nantly House Nursery opened regularly on Saturdays. The average attendance of children was 158 (Monday to Friday) and 17 (Saturday). The demand for accommodation continued and there was always a waiting list at each nursery. Admission generally was restricted to children of mothers in employment, but towards the end of the year the Council decided that social circumstances should also be considered and passed the following resolution "" that priority be accorded in the cases of children of separated or deserted wives, widows, unmarried mothers, married women whose husbands are frequently ill and unable to work full time and other cases of children in need of special care by reason of domestic or social conditions."" No excessive incidence of infectious disease was noted among the children attending the day nurseries. Shortage of staff was less than in previous years, but the educational care in the nurseries is still unsatisfactory owing to the shortage of trained nursery teachers and wardens. The chief causes of absence of staff are sickness, accidents or domestic reasons such as illness of child or relative. The percentage of time lost for",0,Hounslow,51.45499802,-0.3390693814,b19968152,Heston.1947.b19968152.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19968152/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1947,0,51.468495,-0.366134
0,Not applicable/No view,No,Unspecified,"Social Conditions. The Manager of the local Employment Exchange states that there was an increase in employment in the area during 1947. In the boroughs of Kingston, Maiden and Coombe, and Surbiton, and the Esher Urban District, which is the area with which the local Employment Exchange deals, approximately 2,000 more men, and 300 less women, were employed than in 1946. The total figure of employed persons was some 6,000 more than in 1939. The percentage figure for unemployed was very small. Towards the end of the year, signs of a desire to return to work on the part of married women was noticed, and the numbers on the womens' register was higher than for some years. As a result of the raising of the school leaving age, there were only 222 leavers as compared with the usual 600, so that the supply of juvenile labour was not nearly sufficient to meet the demand. I am indebted to the Manager of the local Employment Exchange for this, and other useful information, and for the ready co-operation of his department throughout the year. The principal industries of the area are general engineering, motor engineering, building, manufacture of radio components and construction",0,Kingston upon Thames,51.37877655,-0.2699004784,b19875095,KingstonuponThames.1947.b19875095.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19875095/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1947,0,51.387906,-0.2869
0,Neutral,No,Domestic service,"an average, 40 hours a week. A total of 148 cases received assistance, and 297 home visits were made. In only 30 cases was full recovery not made. Of the cases referred to the Department for assistance, approximately 66.6 per cent. were recommended by Doctors, 22.5 per cent. by the Hospital Almoners, 6 per cent. by K.C.C. Health Visitors and Clinic Doctors, 2.9 per cent. by Public Assistance and the remaining 2 per cent. from miscellaneous sources, including the District Nurses. The number of women employed under the Scheme steadily increased throughout the year. The great need now is for married women who wish to work about four or five hours per day, but do not necessarily wish to be employed continuously and who do not mind periods of inactivity between cases. We cannot have too many of this type of worker on the Register, as it is our aim, eventually, to be able to answer any call for help immediately, which is not always possible under present conditions. DRAINAGE. The houses in the main portion of the District are on the water carriage system, and most of the houses are connected to the public sewers. 9 SANITARY STATISTICS. Number",0,Bromley,51.36084366,0.0463722087,b19793212,Orpington.1947.b19793212.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19793212/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1947,0,51.371999,0.051524
0,Not applicable/No view,Yes,Unspecified,"with accommodation for 189 children continued in operation during the year, and the charge was maintained at 1/- per child per day. The attendance of children on Saturdays was poor, and only Nantly House Nursery opened regularly on Saturdays. The average attendance of children was 174 (Monday to Friday) and 13 (Saturday). The demand for accommodation continued and there was always a waiting list at each nursery. Admission generally was restricted to children of mothers in employment, but social circumstances were also considered and priority was given in the cases of children of separated or deserted wives, widows, unmarried mothers, married women whose husbands are frequently ill and unable to work full time and other cases of children in need of special care by reason of domestic or social conditions. No excessive incidence of infectious disease was noted among the children attending the day nurseries. Shortage of staff was less than in previous years, but the educational care in the nurseries is still unsatisfactory owing to the shortage of trained nursery teachers and wardens. So far no explanation has been found for the relatively high rate of sickness absence in the day nursery staff. Residential Nurseries.—No residential nursery is maintained",0,Hounslow,51.45499802,-0.3390693814,b19968164,Heston.1948.b19968164.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19968164/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1948,0,51.468495,-0.366134
0,Negative,No,Unspecified,"operatives with better wages and standards of living. The children of artisans and shopkeepers strive to enter the professions. This ""upgrading"" of social classes must have a beneficial effect on the mortality rates of diseases which reflect social class influences. The 1951 Census will show to what extent such social class change has happened. Rising living costs and the opportunities offered by increases in the numbers employed in distributive trades, light engineering, wireless assembly and in restaurants and "" snack bars,"" attracts much larger numbers of women into industry with consequent increased exposure to infection. It has been suggested that married women who are gainfully employed (in addition to housekeeping) have a higher risk of tuberculosis than single women of the same age, though married women who are not working have a lower incidence than single women. There have also been suggestions that sacrifices made by mothers to make the rations ""go round"" have had their effect on tuberculosis mortality in women of the older age groups. Whatever force there may or may not be in these suggestions it is certain that the differential tuberculosis mortality and morbidity of men in comparison with those of women (at least in the",0,London County Council,0.0,0.0,b18252941,LondonCountyCouncil.1950.b18252941.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18252941/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1950,0,0.0,0.0
0,Not applicable/No view,No,Unspecified,"births. Unemployment. I am indebted to the Manager of the Local Labour Exchange for the following information :— "" The position of unemployment throughout the year was relatively steady. Towards the end of the period, however, the position worsened slightly owing to the seasonal slackness for painters and also due to the easing of demands for other building trade workers locally. 11 On the women's side the position was also fairly steady with the exception of a rise towards the end of the year due to a general shortage of vacancies for factory work locally and to the requirements of married women who were seeking employment of a part-time nature to meet their domestic commitments. A few women also came on to the register due to seasonal slackness in Agriculture and Market Gardening."" Open Air Recreational Amenities. Orpington is very fortunate in the number of its open air recreational facilities, for there are few things more refreshing both for the body and mind than the ability to be able to get away, even if only for an hour or so, from the turmoil and stress of modern city life. The Council, by its wise provision of these amenities, has given",0,Bromley,51.36084366,0.0463722087,b19793248,Orpington.1950.b19793248.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19793248/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1950,0,51.371999,0.051524
0,Negative,No,Nursing,"north of the District Railway Line was continued during the year. It is fortunate that this ""key"" training home of the South West Essex area is situated near the borough boundary and that the County Authorities were willing to extend its services so far into the borough on the ""appointed day""; for the difficulties in the Council's own service, which were reported last year, 37 continued unabated,, In the absence of a Nurses"" Home or of any kind of living accommodation which can be offered to prospective applicants, recruitment has been practically limited to part-time staff. Many of these are married women with home ties and all the uncertainties which follow from them; and some are not fully qualified as nurses. All give loyal and creditable service, and the table below shows how much they accomplish, but a service built on such foundations is obviously dangerously insecure. Recognising this the Council took a far reaching and constructive step to overcome the difficulties by including a proposal to build a District Nurses' Home and headquarters in their programme of capital works for 1951* It is hoped that this project will succeed in attracting permanent whole-time nurses with appropriate qualifications to come",0,Newham,51.52729416,0.0442534746,b1988154x,WestHam.1950.b1988154x.txt,https://dlcs.io/pdf/wellcome/pdf-item/b1988154x/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1950,0,51.52689,0.037537
0,Neutral,No,"Outwork, Unspecified","the year, which included some to places in which no work was being done at the time of the visit, although the outworker was prepared to restart work when required. Uncleanliness and untidiness was noted in a few of the cases, but in no instance was it found necessary to serve a statutory notice. If the uncleanliness was of a moderately severe degree a revisit was paid at an early date. The impression obtained by the inspector was that, on the whole, only people with fairly good accommodation were doing outwork, probably because there was so much other work for married women if they want to earn money. Nearly all outworkers are seasonally employed. Dog Nuisances The Council operates a byelaw to prevent the fouling of the public footpath by dogs. The form of the byelaw is as follows :— (1) No person being in charge of a dog in any street or public place having the dog on a lead shall allow or permit such dog to deposit its excrement upon the public footway. (2) Any person offending against this byelaw shall be liable to a penalty not exceeding forty shillings. Complaints are sometimes received from members of the",0,Lewisham,51.4503746,-0.0112857744,b18244907,Lewisham.1951.b18244907.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18244907/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1951,0,51.448284,-0.02029
0,Not applicable/No view,No,"Laundry, Factory, Unspecified","last year's rate which was 24.9. Unemployment. There is no doubt whatever that during years of full employment there is a consequent improvement in the health of the population. I am indebted to the Manager of the Local Employment Exchange for the following information :— "" At the beginning of the year the Unemployed Register had been increased by men from the building trades (mainly painters) who were affected by seasonal slackness—otherwise the register consisted generally of older men and those who were limited to light work owing to disabilities. On the Women's side the register contained a number of married women seeking part-time work and others who wanted certain kinds of employment for which there was little demand. It was possible to place a few part-time workers, with local laundries on evening work and also with a large bakery. With the improved weather in April the position changed appreciably and men returned to building and decorating whilst women were employed in local factories and a wide range of other industries. This improvement continued throughout the summer months with a special demand for building workers and women for catering, laundries, domestic service and the retail distributive trades. The last quarter",0,Bromley,51.36084366,0.0463722087,b1979325x,Orpington.1951.b1979325x.txt,https://dlcs.io/pdf/wellcome/pdf-item/b1979325x/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1951,0,51.371999,0.051524
0,Neutral,No,Factory,"industries ranging from motor garages to furniture factories, from chocolate manufacturers to brass founders,. No heavy industry is included other than a firm of civil engineering contractors. In assessing the number of employees, office staff has been excluded, and employers included only if taking an active part in production. Employment of Women A large amount of female labour is employed in work which is light and clean such as gown manufacturers and in the production of radio valves. Many of the women are married and generally do not work a full day. Opinion expressed as to the advisability of employing married women varied.; Some firms preferred them on account of their greater sense of responsibility while others complained that the curtailed working day, irregular time keeping and absenteeism for domestic reasons created administrative and production problems. 44 Employment of Young Persons The employment of young persons is general, but the proportion varies according to the nature of the industry.; In only two instances has mention been made of an apprentice system. This may be a reflection of the unwillingness of young people to commit themselves to one class of employment over a period of years, and in the case of",0,Haringey,51.58391953,-0.0963322679,b19881897,Tottenham.1952.b19881897.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19881897/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1952,0,51.590372,-0.10747
0,Not applicable/No view,No,Unspecified,"and men did not remain long unemployed. Although unemployment is slightly higher than in 1951, the percentage of unemployment has kept below 2%. Unemployment among women has remained steady throughout the year around a figure of 80, excepting during October when it jumped to 115. A similar movement occurred in October, 1951, and is attributed to the termination of employment in the Catering industry in holiday resorts. Of the women registered as unemployed in December, fourteen of them were Registered Disabled Persons. The increase in the Register for 1952, as compared with 1951, is mainly attributed to the return of married women to the employment field. One interesting feature is the appreciable number of women at present working in districts outside Bromley who have registered at this office for local employment."" 20 METEOROLOGICAL OBSERVATIONS. I am indebted to the Borough Engineer for the following information, which has been extracted from the records at the Climatological Station at Church House Gardens:— Total rainfall during 1952: 26.22 inches. Mean maximum daily temperature: 57.38°F. Mean minimum daily temperature: 42.68ºF. Highest maximum temperature: 88°F. (on 1st July). Lowest minimum temperature: 19°F. (on 27th January). Lowest grass temperature recorded: 17ºF. (on 25th Nov. and 6th",0,Bromley,51.36084366,0.0463722087,b1982161x,Bromley.1952.b1982161x.txt,https://dlcs.io/pdf/wellcome/pdf-item/b1982161x/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1952,0,51.371999,0.051524
0,Not applicable/No view,Yes,Unspecified,"6d. per child per day, with provision for this standard charge to be reduced, according to scale, when the means of the parents do not justify the full charge. Following this increase in January, 1953, there has been a marked decrease in the daily attendances at the Nurseries. It should, however, be mentioned that for some months previously the number of applications for day nursery accommodation had somewhat diminished, largely due to the decline in the birth rate over the past four or five years and possibly in part due to the fact that there have been less opportunities for married women to find employment than there were two or three years ago. (c) The training of Students at the Nurseries for the Certificate of the National Nursery Examination Board continued. Ten Students (two from the Ley Street Nursery, one from the Sunshine House Nursery, three from the Goodmayes Lane Nursery and four from Stevens Road Nursery) entered for the examination during the year, five of whom obtained the Certificate. In January, 1953, approval was given to arrangements being made for young students to attend part-time courses (on one day a week) at day continuation classes whilst awaiting enrolment for",0,Redbridge,0.0,0.0,b1987618x,Ilford.1952.b1987618x.txt,https://dlcs.io/pdf/wellcome/pdf-item/b1987618x/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1952,0,51.585658,0.075864
0,Not applicable/No view,Yes,Unspecified,"(b) On Retirement—That men and women who can give effective service should be given the opportunity, without regard to age, to continue at work if they wish. Unemployment among women is mainly comprised of clerical and shop workers for whom there is difficulty in placing on account of age restrictions, and of women who require work for a limited number of hours owing to domestic responsibilities, many of whom only register for short periods when the urge or necessity to take a job arises. The rise in the number of women registered as unemployed in October was mainly due to married women registering for employment following the return of children to school and not to any other cause. Of the 44 registered as unemployed on 6th December. 22 were over 40 and 22 under that age. Also 20 of the women registered were married. There have been no important changes in local industry during the year excepting that at Bromley Gas Works where production of gas ceased on 31st March. All displaced workers were either transferred to other depots of the S.E. Gas Board or were placed in other employment by this office. 18 Although unemployment has remained so low",0,Bromley,51.36084366,0.0463722087,b19821633,Bromley.1954.b19821633.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19821633/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1954,0,51.371999,0.051524
0,Not applicable/No view,No,Nannying,"Group for Children under Five As an adjunct to the scheme for dealing with behaviour problems it is further proposed to set up at Park Lane Clinic and Day Nursery during 1955 an experimental ""play group"" where children with such problems can mix and play with other children. The scheme envisages the co-operation of the Child Guidance staff and it is hoped to report progress at an early date. Daily Guardian Scheme The supervised daily minding of children under school age, whose mothers are in full-time employment was established in this Area in 1947. It commenced very modestly with three married women who were prepared to take into their own homes, children whose mothers could not make any other satisfactory arrangements for minding by the day. Each guardian is paid one shilling a day for each child placed with her, irrespective of payment received from the mother. There are no retaining fees and payment commences after registration and evidence of the receipt of the child. No guardian may accept more than two 72 children. The selection of guardians is limited to those who are prepared to keep to the rules of the scheme and are approved by the health visitor",0,Haringey,51.58391953,-0.0963322679,b18249395,Hornsey.1954.b18249395.txt,https://dlcs.io/pdf/wellcome/pdf-item/b18249395/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1954,0,51.590372,-0.10747
0,Not applicable/No view,No,Unspecified,"much evidence to show they are also happier and healthier if allowed to do so. Page 36 One of the objections raised to the employment of people beyond the present retiring ages is the alleged increased incidence of sickness amongst older members of the staff. In this connection a recent report on sickness in a health department of a local authority (published in the ""Monthly Bulletin of the Ministry of Health and the Public Health Laboratory Service"" for October, 1954), is of the greatest interest. It was found that in general women lost more time through illness than men and married women lost more time than a single woman. For each category, however, the sickness rates rose to a maximum for staff between the ages of 50 and 55, and decreased markedly thereafter. Both single and married women over 60 lost less working days per year than those in any other age group and men over 60 lost almost as little time as the youngest. Specimen figures are given in the following table:— WORKING DAYS LOST PER YEAR Ages Men Single women Married women 30 years+ 4 8 28 40 years+ 7 15 21 50 years+ 13 21 29 60",0,Barking and Dagenham,0.0,0.0,b19784442,Barking.1954.b19784442.txt,https://dlcs.io/pdf/wellcome/pdf-item/b19784442/0,bigram + list of terms,"married,women",None,"employment,employed,employee,work,working,worked,job,occupation",1954,0,51.54396,0.13317
