b_number,bigram terms,borough,file name,search criteria,text extract,year,borough name (normalised),list of search terms,Keep?,Further notes,View offered of married women's work,Married women's work discussed in the context of motherhood,Occupation type
b18252606,"married,women",LondonCountyCouncil,LondonCountyCouncil.1911.b18252606.txt,bigram + list of terms,"two Italian midwives in practice in London. Fees charged by Midwives. Ihe fee a midwife receives for attending a confinement and the subsequent visiting for 10 days varies in different localities from 5s. per case upwards, but usually a fee of 7s. 6d. to 10s. is expected. The charities employing midwives pay 5s. or 6s. a case, and provide the midwife with registers, forms, antiseptics, etc. It is apparent from the number of cases taken by midwives and the small fees paid that very few can rely solely on their practice as a means of livelihood. Many of them are married women who do not trouble to obtain a large practice, a few keep lying-in homes ; others, especially those with a fairly large practice, are approved by the Central Midwives Board to give practical instruction to pupils preparing for the Board's examination. The pupil resides with the midwife and goes with her to cases. The fees for pupils are usually about £1 Is. per week, which includes board and lodging in addition to the practical instruction civen bv the midwife. Maternity charity. Many midwives are employed in Poor Law Infirmaries, and a large proportion of the 3,000 confinements in",1911,London County Council,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,Midwifery
b19783462,"married,women",Acton,Acton.1911.b19783462.txt,bigram + list of terms,"mortality was 36 per 1,000' births higher than in 1910. Compared with 1910, the infantile mortality was higher in all the wards. The diseases which showed the greatest increase in the number of deaths were Diarrhœeal Diseases and Measles. Therewas a slight increase also in the number of deaths from Prematurity and Congenital Debility. There were 37 deaths from Prematurity and 23 from Atrophy,. Debility and Marasmus. These are the two groups of cases which are usually supposed to be affected by antenaital causes. A few 43 years ago it was frequently stated and believed that the industrial employment of married women was one of the most important direct factors in the causation of infantile mortality in large towns Owing to investigations carried out in certain large towns, it is now possible to approach this portion of the subject with greater accuracy than formerly. Although the number of cases investigated are not so large as could be desired, certain results have been obtained which cast some doubt upon the direct influence exerted by the industrial employment of women in producing excessive infantile mortality. Section 61 of the Factory and Workshop Act, 1901, makes it an offence for the occupier of",1911,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,More text needed too - another 100 words?,Neutral,Yes,Factory
b19822765,"married,women",Stepney,Stepney.1913.b19822765.txt,bigram + list of terms,"to child life. (4) The number of still births. (5) The quality of the help given at birth. Want of skilled care at birth may bear an important part in the number of deaths from accidents of child-birth. (6) The age of the mother. Excessive infant mortality is often ascribable in part to too early motherhood, with its associated inexperience and possible carelessness. (7) Poverty and social condition. Infant mortality is higher among the poor and lowest among the well-to-do. 64 (8) The non-domestic employment of married women. The infantile mortality is greatest in districts having the highest proportion of married women industrially employed. Such employment must necessarily involve some neglect of the home, and especially of any young children. (9) Poverty is a direct cause of infant mortality where it induces malnutrition of mother or infant, or where it implies that the mother cannot give adequate care to the infant. (10) Poverty is also an important indirect cause of infant mortality. Its influence is exercised in the following among other ways:— (a) Poverty is not infrequently associated with ignorance and carelessness. (b) With these are commonly associated overcrowding and uncleanliness. (c) Alcoholic habits frequently result from living under conditions",1913,Tower Hamlets,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,Factory
b1825262x,"married,women",LondonCountyCouncil,LondonCountyCouncil.1913.b1825262x.txt,bigram + list of terms,"79 Report of the County Medical Officer—General. Fees charged by midwives. The fee a midwife receives for attending a confinement and for the subsequent 10 days' visiting varies in different localities from 5s. per case upwards, but usually a fee of 7s. 6d. to 10s. is expected. The charities employing midwives pay 5s. or 6s. a case, and provide the midwife with registers, forms, antiseptics, etc. It is apparent from the number of cases taken by midwives and the small fees paid that very few can rely solely on their practice as a means of livelihood. Many of them are married women who do not trouble to obtain a large practice; a few keep lying-in homes ; others, especially those with a fairly large practice, are approved by the Central Midwives Board to give practical instruction to pupils preparing for the Board's examination. The pupil resides with the midwife and goes with her to cases. The fees for pupils are usually about £1 1s. per week, which includes board and lodging in addition to the practical instruction given bv the midwife. Maternity charities. Many midwives are employed in Poor Law Infirmaries, and a large proportion of the 3,000 confinements in",1913,London County Council,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,Midwifery
b19790156,"married,women",Finchley,Finchley.1913.b19790156.txt,bigram + list of terms,"Mortality, and I do not think it is possible to improve upon the concise summary which the Medical Officer gives in that part of the Report which deals with the Special Conditions associated with high Infant Mortality. 1. The relative importance of the many factors concerned in causing excessive infant and child mortality is difficult to assess; these factors are not identical for all districts. In this part of the present report special stress has been laid upon the factors of defective sanitation and housing, the removal of which is within the control of Sanitary 2. The industrial employment of married women must necessarily involve some neglect of the home, and especially of any young children. 28 3. Conservancy systems of disposal of excreta are very commonly associated with excessive infant mortality. 4. The smallest incidence of disease, especially of diarrhœal diseases, occurs usually in districts supplied with water-closets. 5. In the history of several towns the conversion of a conservancy into a water-carriage system has been associated with a great reduction of mortality from diarrhceal diseases; whilst in other towns the continuance of conservancy systems has been associated with continued high diarrhceal mortality. 6. Unpaved yards and streets and",1913,Barnet,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,Factory
b18110885,"married,women",Fulham,Fulham.1913.b18110885.txt,bigram + list of terms,"Employments. Although in some cases it has not been easy to determine the past or present occupations of some 111 of the 220 Heads of families, they may be roughly classified as follows:— Men 125 in unskilled labour (of whom few are in regular employment. 19 in skilled trades. 21 costers or general dealers. 10 organ grinders or professional beggars. 12 no occupation or unknown. 2 agents for the property. 189 Total As quite a number of these men are from various causes habitually out of work, or do only occasionally wood chopping or costering, there are in consequence 47 married women who either supplement their wages or who are the real wage earners of the family. About half of these women work at laundries and the rest are employed charring, or similar work. There are also 36 widows or deserted wives who support their families in the following ways:— 18 work in laundries or do charing, etc. 2 have small shops. 5 are costers or professional beggars. Thus out of 226 families, 93 are seen to be mainly, if not entirely dependant on the work of the women. Police Records, &c. The records of police convictions have not been",1913,Hammersmith and Fulham,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not appplicable/No view,No,"Laundry, Domestic Service"
b19969764,"married,women",Heston,Heston.1914.b19969764.txt,bigram + list of terms,"of work largely engaged in locally is fieldlabour in the market gardens. In this class of work the wages paid are low, and a considerable amount of female labour is used. The number of women returned as engaged in agriculture is 146, but this is largely a seasonal trade, and it should be borne in mind that the Census is taken in April: probably the actual number is much greater. 7 Female labour is also largely used in the Chemists' Works, the Soap Factory, the Confectionery Works, and the Laundries. The Census of Occupations gives the proportion of (industrially) occupied married women as 95 per 1,000 of all occupied women. I have been unable to furnish the information with respect to the amount of poor-law relief. There are approximately, however, 750 old age pensioners in this district. In addition to this, there are the Heston Charity Trustees and the Isleworth Parochial Charities, who provide monies for pensions. To state the extent to which Hospital and other forms of gratuitous medical relief are utilised, is somewhat difficult. If, however, the number of deaths occurring in Institutions is stated, it will probably give a rough idea of the extent to which these",1914,Hounslow,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not appplicable/No view,No,Unspecified
b19790168,"married,women",Finchley,Finchley.1914.b19790168.txt,bigram + list of terms,"and I do not think it is possible to improve upon the concise summary which the Medical Officer gives in that part of the Report- which deals with the Special Conditions associated with high Infant Mortality. 1. The relative importance of the many factors concerned in causing excessive infant and child mortality is difficult to assess; these factors are not identical for all districts. In this part of the present report special stress has been laid upon the factors of defective sanitation and housing, the removal of which is within the control of Sanitary Authorities. 2. The industrial employment of married women must necessarily involve some neglect of the home, and especially of any young children. 28 3. Conservancy systems of disposal of excreta are very commonly associated with excessive infant mortality. 4. The smallest incidence of disease, especially of diarrhœal diseases, occurs usually in districts supplied with water-closets. 5. In the history of several towns the conversion of a conservancy into a water-carriage system has been associated with a great reduction of mortality from diarrhœal diseases; whilst in other towns the continuance of conservancy systems has been associated with continued high diarrhœal mortality. 6. Unpaved yards and streets and",1914,Barnet,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,Factory
b18123697,"married,women",Deptford,Deptford.1914.b18123697.txt,bigram + list of terms,"Table are the results of observations taken at the Royal Observatory, Greenwich. 10. Industrial employment of many of our women in the borough is probably one of the important influences at work, for it is obvious that girls and young women who are employed in industrial work for many hours daily have but little time to make themselves practically familiar with the very numerous, and often apparently unimportant matters, which make all the difference between a well-ordered home and one which lacks the influence of a capable mother. Nevertheless, to what extent and in what manner the industrial employment of married women affects the infantile mortality is still a matter of discussion. Under present social conditions, the harmful effects are partly counteracted by the greater comfort and increased nourishment which such employment enables the mother to secure. The mortality from prematurity and congenital defects is higher in the East Ward of Deptford than in the remainder of the Borough and greater than the average of some other large towns. One reason why diarrhceal diseases are excessive in the locality mentioned above may partly be put down to artificial feeding but the disadvantages of artificial feeding are further accentuated by the",1914,Lewisham,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,Factory
b18123703,"married,women",Deptford,Deptford.1915.b18123703.txt,bigram + list of terms,"means that over 800 mothers die each year in England and Wales, as the result of child-bearing, whose lives would be saved if the experience of the rest of England and Wales were as favourable as that of London. But the recorded experience of London in respect of 20 puerperal fever is as unfavourable as that of the provinces. If this disease were to be eliminated, as it has been substantially from the experience of many lying-in-hospitals, a further saving of 1,100 lives of mothers would be secured annually in England and Wales. The close relationship between factory work for married women and excessive mortality from child-bearing is indicated. Although dogmatism as to causation is not justified, and the need for further intensive inquiry is suggested by the facts under each heading, Dr. Newsholme says the presumption is justified that better arrangements for ante-natal care and for midwifery attendance would go far to reduce the mortality from child-bearing. In order that official action may be taken for reducing maternal mortaliy and suffering in child-bearing, measures must be adopted for ascertaining what cases need help. This condition, the report states, can be fulfilled by : (a) The provision of skilled assistance",1915,Lewisham,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,Factory
b19796699,"married,women",Willesden,Willesden.1916.b19796699.txt,bigram + list of terms,"of the enquiry of the Carnegie United Kingdom Trust, there may be a further grant from this source, thereby still further reducing the cost to the Council. I am, your obedient servant, GEORGE F. BUCHAN, Mcdical Officer. APPENDIX D. 17th July, 1916. To the Chairman and Members of the Health Committee. DAY AND NIGHT NURSERY EOR CHILDREN OF MUNITION WORKERS. As instructed by the General Purposes Committee I beg to report on the above subject. The Matron of the Women Workers at the Perivale Fuse Filling Factory brought under my notice the difficulty of obtaining and retaining the services of married women at this factory on account of their inability to make arrangements for the care of their children. She informed me that there were approximately 1,800 women workers in the factory now, and that when the buildings were completed and the factory full, there would be not less than 4,000 to 5,000 women workers. Enquiries made by her amongst the women now employed at the factory showed that at the present time there were 26 who would leave 30 children to be looked after by day, and a similar number by night, and the Matron was of opinion that",1916,Brent,"employment,employed,employee,work,working,worked,job,occupation",Yes,Get the following 15 words or so for this entry,Not applicable/no view,Yes,Factory
b19796705,"married,women",Willesden,Willesden.1917.b19796705.txt,bigram + list of terms,"some other child is reared in a yet more healthy manner. I would like the Committee to get clearly in. their minds that a child is a living unit from the time that conception occurs in the mother's womb. It will therefore be readily understood and conceded that everything that helps the mother helps the child. The first problem then is how can the mother be helped. There are many methods. There should be no industrial employment of women before and for some time after childbirth. Indeed it would be to the national advantage if there were no employment of married women who are rearing families. The mother during the period of bearing and nursing the child must be well fed. Willesden has recognised this fact and has provided hot and wholesome mid-day meals for expectant and nursing mothers. 907 such meals were provided during the eight weeks since the Committee last met. Medical advice should be available for the mother during pregnancy and a Municipal Antenatal Clinic has been established at 9, Willesden Lane, for expectant mothers. This has proved a boon and is being increasingly made use of. Such clinics will also be associated with the other clinics",1917,Brent,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Negative,Yes,"Factory, Unspecified"
b19789713,"married,women",Erith,Erith.1919.b19789713.txt,bigram + list of terms,"during the first 4 weeks of life. Twenty deaths were due to premature birth, including Congenital Debility and Malformation, 5 to Pneumonia, 3 to Bronchitis, and 1 to Diarrhœa. I have in an earlier part of the Report given an account of the work done by the Child Welfare Department, and I think that the figures with regard to infantile mortality afford unmistakeable evidence of the value of that work. The sanitary conditions of the district are all favourable, there are no slums, no back to back houses, plenty of open spaces and fresh air, there are no industries employing married women to any large extent, and work has been fairly plentiful so that with the exception of that due to the strike of moulders there has been very little unemployment. 52 Table I.—Vital Statistics of Whole District during 1919 and previous years. Year. Population estimated to middle of each year. Births. Ttl. Deaths registrd. in the Distr's. Transferable Deaths. Nett Deaths belonging to the District. Uncorrected Number. Nett. Number. Rate. of Non-residents registered in the District. of Resid'ts not registered in the District. Under 1 year of age. At all Ague, Number Rate. No. Kate per 1000 nett Births.",1919,Bexley,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,Yes,Unspecified
b18123740,"married,women",Deptford,Deptford.1919.b18123740.txt,bigram + list of terms,"simply results in the more complete dissemination of dust into the atmosphere. 10. Industrial employment of many of our women in the borough is probably one of the important influences at work, for it is obvious that girls and young women who are employed in industrial work for many hours daily have but little time to make themselves practically familiar with the very numerous, and often apparently unimportant matters, which make all the difference between a well-ordered home and one which lacks the influence of a capable mother. Nevertheless, to what extent and in what manner the industrial employment of married women affects the infantile mortality is still a matter of discussion. Until the present improved social conditions of the bread winner the harmful effects were partly counteracted by the greater comfort and increased nourishment which such employment enabled the mother to secure. The mortality from prematurity and congenital defects is higher in the East Ward of Deptford than in the remainder of the Borough and greater than the average of some other large towns. One reason why diarrhœal diseases are excessive in the locality mentioned above may partly be put down to artificial feeding, but the disadvantages of artificial",1919,Lewisham,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Neutral,Yes,Factory
b18252679,"married,women",LondonCountyCouncil,LondonCountyCouncil.1919.b18252679.txt,bigram + list of terms,"and 24 as a result of the subsequent examinations. The reasons for rejection were: unsatisfactory general health, 9 ; defective vision, 9 ; unsatisfactory condition of heart, 3 ; defective teeth, 14 ; miscellaneous, 7. Cases specially referred These referred cases relate to leave granted to employees absent owing to personal illness; to cases in which questions have arisen in regard to students in institutions for higher education whose health is considered such as to render exceptional attention advisable; to teachers returning to duty after extended leave of absence (a) owing to personal illness, (b) for educational purposes, (c) to married women under No. 31 of the regulations in regard to the education service; to teachers about to be superannuated; to teachers demobilised from the Forces who applied for special consideration owing to wounds, etc.; and to cases in which claims were received from teachers and others in the permanent service for exceptional treatment as regards sick pay and re-imbursement of medical and other expenses in respect of illnesses alleged to be due to the conditions under which they were required to carry out their duties. The number of cases thus specially referred was 1,565, as compared with 1,262 in",1919,London County Council,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,No,"Teaching, Nursing"
b19783498,"married,women",Acton,Acton.1919.b19783498.txt,bigram + list of terms,"comprises Bedford Park is almost entirely residential in character, and there are only a few factories in the ward, and these are along the borders of the ward. A considerable proportion of the inhabitants, and especially those of the North East, North West and South East Wards are employed outside the district. The oldest industry, and at one time the most important, and almost the sole one, is the laundry industry. This industry has been established in the district for nearly half a century, and absorbs a large number of workers. In August 1915, there were 1048 single and 1640 married women employed in the laundry industry. It is probable that this number was exceeded ten years ago, and it is likely that at the present time fewer persons are employed than in 1915. The introduction of labour saving machinery has had the effect of closing most of the hand laundries, and this fact alone would account for a diminished number of employees. But it is also possible that less work is now done in the laundries of the district than was the case ten years ago. In addition to the small hand laundries, some factory laundries have recently been",1919,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,No,Laundry
b18244105,"married,women",LondonCountyCouncil,LondonCountyCouncil.1920.b18244105.txt,bigram + list of terms,"63 ; unsatisfactory personal hygiene 10 ; defective teeth 12 ; unsatisfactory general health 23 ; tuberculosis 3 ; unsatisfactory condition of heart 5 ; miscellaneous 33. Cases specially referred. There are also referred to the Public Health Department cases in relation to employees in the Education Service absent owing to personal illness ; questions in regard to students in institutions for higher education whose health is considered such as to render exceptional attention advisable ; cases of teachers returning to duty after extended leave of absence (a) owing to personal illness ; (b) for educational purposes ; (c) to married women under No. 31 of the Regulations in regard to the Education Service; cases of teachers about to be superannuated; applications for special consideration owing to wounds, etc., of teachers demobilised from the Forces ; and claims received from teachers and others in the permanent service for exceptional treatment as regards sick pay and re-imbursement of medical and other expenses in respect of illnesses alleged to be due to the conditions under which they may have been required to carry out their duties. The number of cases thus specially referred was 1,806, as compared with 1,565 in 1919, an",1920,London County Council,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,No,Teaching
b19788721,"married,women",Edmonton,Edmonton.1920.b19788721.txt,bigram + list of terms,"out simple tasks, such as weighing the babies and the sale of virol, etc. To take over temporarily their infants from the mothers enables the latter to give their undivided attention to the health-talks of the Lady Superintendent, Miss A. Bintcliffe, who was appointed in April, 1921. These little talks, now resumed, will benefit the loving, but ignorant, mothers immensely. I hope that the horrid spectacle of babies sucking "" dumb teats "" will never be seen again in our Centres. Married Women's Labour.—Ever since I have had women officers on my staff, they have been instructed to advise all married women to let the care of the home, husband and children, take the first place in their life-work and therefore not to attempt work which necessitates their absence from the home for long periods of each day. Shocking examples of neglect of this advice too frequently come under my notice in connection with dirty homes and verminous and neglected children. This teaching has been continued up-to-date, but it is difficult for myself and officers to enforce in Edmonton, when it is common knowledge that my Council itself employs married women amongst the school teachers. Indeed, the medical officers of",1920,Enfield,"employment,employed,employee,work,working,worked,job,occupation",Yes,Need more text here too - end section is very relevant,Negative,Yes,"Teaching, Unspecified"
b18252680,"married,women",LondonCountyCouncil,LondonCountyCouncil.1921.b18252680.txt,bigram + list of terms,"as the result of their subsequent examination. The reasons for rejection were :—defective vision 48; unsatisfactory personal hygiene 10; defective teeth 10; unsatisfactory general health 17; unsatisfactory condition of heart 2; miscellaneous 25. There are also referred to the Public Health department special cases of employees in the education service absent owing to personal illness ; questions in regard to students in institutions for higher education whose health is considered such as to render exceptional attention advisable ; cases ofteachers returning to duty after extended leave of absence (a) owing to personal illness ; (6) for educational purposes; (c) to married women under No 31 of the Regulations in regard to the education service ; cases of teachers about to be superannuated ; applications for special consideration owing to wounds, etc., of teachers demobilised from H.M. Forces ; and claims received from teachers and others in the permanent service for exceptional treatment as regards sick pay and re-imbursement of medical and other expenses in respect of illnesses alleged to be due to the conditions under which they may have been required to carry out their duties. The number of cases thus referred was 2,333 as compared with 1,806 in 1920,",1921,London County Council,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,No,Teaching
b1825200x,"married,women",StPancrasMetropolitanBorough,StPancrasMetropolitanBorough.1921.b1825200x.txt,bigram + list of terms,"the end of 1921 will be found on pages 5 and 6. Dr. G. T. Calthrop, Tuberculosis Officer, resigned his position in July, but continued to act until 1st October. His place was taken from 3rd October by Dr. G. F. Hardy, M.C., who was appointed temporarily. Dr. Gladys Miall-Smith, Assistant Medical Officer for Maternity and Child Welfare, left the Council's service on 19th November, in consequence of her marriage. Her medical consultations at the Council's Centres were undertaken temporarily by part-time medical officers. In consequence of the same resolution of the Council on the subject of the employment of married women whose husbands were in a position to support them, Mrs. Barrett and Mrs. Cook, assistants at the Personal Cleansing Station, and Mrs. Reid, assistant at the Prospect Terrace Baths, left in July. Mrs. Baxter's place was filled temporarily and Mrs. A. Wright and Mrs. A. Styles were appointed at the Cleansing Station on 13th July. Mrs. Wright afterwards resigned and Mrs. L. Blaby was appointed in her place on 16th November. Mrs. L. Arnold was appointed in Mrs. Reid's place on 13th July. Miss H. Payne, sanitary inspector, left the Council's service at the end of May in",1921,Camden,"employment,employed,employee,work,working,worked,job,occupation",Yes,Add more text to the end of this,Negative,No,"Medicine, Other"
b19823447,"married,women",Woolwich,Woolwich.1922.b19823447.txt,bigram + list of terms,"men to work on munitions during the war. The smaller proportion of females in the age groups 20-39 may be due to young women leaving Woolwich to find employment elsewhere, or to the fact that the London female population at these ages is increased by provincial immigrants who would not be likely to settle in Woolwich where there is very little opportunity for them to find work. This explanation is supported by the fact that, comparatively speaking, there is less female labour employed in Woolwich than in any other Metropolitan Borough, and particularly is this so in the case of married women of whom, approximately, one in twenty is employed compared with one in nine in London as a whole. 14 SECTION II.—VITAL STATISTICS. In accordance with the requirements of the Ministry of Health, the following extracts from the Vital Statistics of year are shewn below. TABLE No. 4. Births—Legitimate 2,835 „ Illegitimate 106 2,941 Birth rate 21.3 Deaths 1,603 Death rate 1.6 Number of women dying in, or in consequence of, child birth 6 (a) From Sepsis 3 (6) From other causes 2 Deaths of infants under 1 year 184 (a) Legitimate 171 (b) Illegitimate 13 Infantile Mortality rate",1922,Greenwich,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/no view,No,Unspecified
b18116565,"married,women",Holborn,Holborn.1923.b18116565.txt,bigram + list of terms,"in the Borough is given in the Census Report as 17,853; of this number 14,728 are stated to be gainfully occupied. The total number of females over 12 is given as 19,652; of this number 10,333 were described as gainfully occupied. The following table gives the population in Holborn over 12 years of age in relation to marriage and occupation:— Males. Females. Single. Married. Widowed or Divorced. Single. Married. Widowed or Divorced. Total 8 708 8,297 947 9,415 7,741 2,496 Number occupied 6,643 7,296 689 7,149 1,830 1,354 Number not occupied 2,065 901 159 2,266 3,911 1,142 The number of married women occupied away from their homes is equal to 23.7 per cent. of the total number of married women in the Borough. This high percentage of wives following an occupation is exceeded in London only in the City of London, where the proportion is 30.6 per cent., and in the Borough of Shoreditch, 24.1 per cent.; Holborn is closely followed by Finsbury with 23.1 per cent.; at the other end of the scale we have Woolwich with 5.3 per cent., Lewisham 6.1 per cent., Wandsworth 7.8 per cent., and Stoke Newington 10.2 per cent. The chief occupations of the",1923,Camden,"employment,employed,employee,work,working,worked,job,occupation",Yes,This includes a table,Not applicable,No,Unspecified
b19783541,"married,women",Acton,Acton.1924.b19783541.txt,bigram + list of terms,"the distribution reveals some puzzling figures and does not lead to a definite conclusion. In the poor working class Metropolitan Borough of Shoreditch, the rate of mortality in 1919-22 (2.55) was the lowest but two of all the Metropolitan Boroughs, surpassed only by the City of 17 London-a very special district-1.66 and the working class Borough of Stepney (2.42). Both Hampstead and Lewisham with the lowest rates of infant mortality of the metropolis had higher maternal mortality rates than Shoreditch (with the highest rate of infant mortality). Maternal mortality does not seem to bear much relation to the percentage of married women engaged in extra-domestic duties. In the Metropolitan Boroughs, the lowest mortalities are in those districts which have the highest percentage of married women engaged in some extra-domestic occupation. In last year's report, figures were given showing the position of Acton in this respect. The relationship between these two factors has been discussed, but no definite conclusion can be drawn. Certain kinds of employment may be harmful. The nature of the work may be such as to exert a harmful effect upon pregnancy and child-bearing, as, for example, certain processes necessitating the use of lead; or the work may",1924,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,Get more text to add to end,Not applicable/No view,Yes,"Unspecified, Laundry"
b18252710,"married,women",LondonCountyCouncil,LondonCountyCouncil.1924.b18252710.txt,bigram + list of terms,"examinations. The reasons for rejections were: defective vision, 97 ; unsatisfactory general health, 40 ; unsatisfactory condition of heart, 13 ; miscellaneous, 32. One candidate was reiected for two defects. Cases specially referred. Ihere are also referred to the public health department special cases or employes in the education service absent owing to illness ; questions in regard to students 105 in institutions for higher education whose health renders exceptional attention advisable ; teachers proceeding overseas under the interchange scheme ; teachers returning to duty after extended leave of absence (i.) owing to personal illness; (ii.) for educational purposes; (iii.) married women under E.22 of the Regulations ; teachers about to apply for a breakdown allowance ; applications for special consideration owing to wounds, etc., of teachers demobilised from H.M. Forces ; and claims received from teachers and others in the permanent service for exceptional treatment as regards sick pay and reimbursement of medical and other expenses, in respect of illnesses alleged to be due to the conditions under which they may have to work. The number dealt with was 3,751 as compared with 3,154 in 1923, an increase of 597, due largely to extensive sickness in the early part",1924,London County Council,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,No,Teaching
b19787856,"married,women",Ealing,Ealing.1925.b19787856.txt,bigram + list of terms,"apparatus and the Middlesex King Edward Memorial scheme in giving holidays at their Holiday Home at Heme Bay for anaemic or badly nourished children. —101— NURSERY SCHOOLS. There are no nursery schools in the district. Children under 5 years of age are admitted to the Infants' Departments whenever, in the opinion of the School Attendance Committee, it is desirable because the children cannot be properly cared for at home on account of the mother having to go out to work or on account of some other circumstance militating against proper care at home during the ordinary school hours. Very few married women are engaged in regular employment in the district and consequently there is little demand for a special nursery school. SECONDARY SCHOOLS. Secondary Schools, one for boys and one for girls, have been provided by the Middlesex Education Committee in Ealing. The school for girls was opened during the year under review. Medical inspection is carried out by the Ealing School Medical Department, but the report on this inspection is submitted to the Middlesex Education Committee. BLIND, DEAF, DEFECTIVE AND EPILEPTIC CHILDREN. The school enquiry officers report to the school medical department all children of school age who are",1925,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,Unspecified
b19787868,"married,women",Ealing,Ealing.1926.b19787868.txt,bigram + list of terms,"giving holidays, at their Holiday Home at Heme Bay, for anaemic or badly nourished children. NURSERY SCHOOLS. There are no Nursery Schools in the district, but children between 4 and 5 years of age are admitted to the Infants' Departments whenever, in the opinion of the School Attendance Committee, it is considered advisable that the children should be cared for in school when they cannot be properly cared for at home on account of the mother having to go out to work or on account of some other circumstance preventing proper care at home during ordinary school hours. Comparatively few married women are engaged in regular employment in the Borough and consequently there has not been much demand for Nursery Schools. SECONDARY SCHOOLS. There are two Secondary Schools in Ealing provided by the Middlesex Education Committee, one for boys and one for girls the latter having been opened in February, 1926. Medical Inspection is carried out for this Committee by the Ealing school medical staff. BLIND, DEAF, DEFECTIVE AND EPILEPTIC CHILDREN. The School Enquiry Officers report to the School Medical department all children of school age who are blind, deaf, defective or epileptic and not in attendance at any school;",1926,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,Unspecified
b1978787x,"married,women",Ealing,Ealing.1927.b1978787x.txt,bigram + list of terms,"King Edward Memorial Committee in giving holidays, at their Holiday Home at Heme Bay, for anaemic or weakly children. NURSERY SCHOOLS. There are no Nursery Schools within the Borough, but children between 4 and 5 years of age are admitted to the Infants' Departments whenever the School Attendance Committee is of opinion that it is to their advantage, on account of special home circumstances such as the occupation of the mother or the overcrowded or unsuitable conditions, to be admitted. Each case is considered on its merits by the Committee on an application being made by the parents. Very few married women in the district are engaged in regular employment, so that there has at no time been any insistent demand for Nursery Schools. SECONDARY SCHOOLS. Medical inspection at the two Secondary Schools, provided by the Middlesex Education Committee, is carried out by the Ealing School Medical Staff. This arrangement is very convenient as the great majority of the boys and girls attending these schools come from Ealing Public Elementary Schools, where they have already been under medical supervision. 69 BLIND, DEAF, DEFECTIVE AND EPILEPTIC CHILDREN. Specially defective children are ascertained through the School Enquiry Officers, who report all such",1927,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,Unspecified
b19787881,"married,women",Ealing,Ealing.1928.b19787881.txt,bigram + list of terms,"at Heme Bay to anaemic and weakly children. NURSERY SCHOOLS. The Local Education Authority have not established any Nursery Schools, but children between four and five years of age are admitted to the Infants' Departments if accommodation is available whenever the School Attendance Sub-Committee are satisfied that it will be of advantage to the child to be so dealt with, because of particular circumstances such as the employment of the mother or the overcrowded or unsuitable conditions of the home. Each case is considered on its merits by the Committee on an application being made by the parents. Very few married women engage in regular employment in the Borough so that there is no insistent demand for Nursery Schools. 69 SECONDARY SCHOOLS. By an arrangement with the Middlesex Education Committee, the Ealing School Medical Staff carries out medical inspection at the Secondary Schools for boys and girls. This arrangement is very suitable as most of the boys and girls attending these schools come from Public Elementary Schools where they have already been under medical supervision. BLIND, DEAF, DEFECTIVE AND EPILEPTIC CHILDREN. Specially defective children are ascertained through the School Enquiry Officers, who report all such cases not attending school, through",1928,Ealing,"employment,employed,employee,work,working,worked,job,occupation",Yes,,Not applicable/No view,Yes,Unspecified
