contextText,location_fromMOH,searchCriteria_bigram,searchCriteria_type,source_bNumber,source_fileName,time_year,list of search terms,search criteria
"are occupied by men, 2 by women, 2 by boys, and 1 by a girl. These shelters are lent at a small rent varying from is. 6d. to 3d. per week, according to means. Only those who have no source of inoome are now exempted from payment. The weekly call to collect the rent insures that the shelter 78 is being used. Shelters were lent to 22 persons last year, 17 men, 4 women, and 1 boy. 4 of these had the shelter free, 1 paid 3d., 15 paid 6d., and 2, Is. a week. Two have been occupied by married women for nearly three years. Most of the patients using shelters are now under the supervision of the Tuberculosis Dispensary. Three bedsteads with bedding are also being lent to needy cases too poor to provide such. 83. Tuberculosis Dispensary. A Dispensary for the treatment of tuberculosis was opened in September, 1911. The following is the summary of the work referring to the period 1st January to 31st December, 1914:— Insured persons treated 320 Uninsured do. 1,754 Total attendances and home visits of doctors and nurses:— Insured 2,984 Uninsured 10,264 In attendance on March 31st, 1914:— Treatment. Observation. Insured. Uninsured.",Woolwich,"married,women",bigram search,b19823393,Woolwich.1914.b19823393.txt,1914,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"means that over 800 mothers die each year in England and Wales, as the result of child-bearing, whose lives would be saved if the experience of the rest of England and Wales were as favourable as that of London. But the recorded experience of London in respect of 20 puerperal fever is as unfavourable as that of the provinces. If this disease were to be eliminated, as it has been substantially from the experience of many lying-in-hospitals, a further saving of 1,100 lives of mothers would be secured annually in England and Wales. The close relationship between factory work for married women and excessive mortality from child-bearing is indicated. Although dogmatism as to causation is not justified, and the need for further intensive inquiry is suggested by the facts under each heading, Dr. Newsholme says the presumption is justified that better arrangements for ante-natal care and for midwifery attendance would go far to reduce the mortality from child-bearing. In order that official action may be taken for reducing maternal mortaliy and suffering in child-bearing, measures must be adopted for ascertaining what cases need help. This condition, the report states, can be fulfilled by : (a) The provision of skilled assistance",Deptford,"married,women",bigram search,b18123703,Deptford.1915.b18123703.txt,1915,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"air raids. 5 are occupied by men and 4 by women. 51 They are lent at a small rent varying from 1s. 6d. to 3d. per week, according to means. Only those who have no source of income are now exempted from payment. The weekly call to collect the rent insures that the shelter is being used. Shelters were lent to 24 persons last year, 18 men, 4 women, 1 boy and 1 girl. 4 of these had the shelter free', 1 paid 3d., 16 paid 6d., 1 paid 9d., and 2, 1s. a week. Two have been occupied by married women for nearly four years. Most of the patients using shelters are now under the supervision of the Tuberculosis Dispensary. 3 bedsteads with bedding are also being lent to needy cases too poor to provide such. 69. Tuberculosis Dispensary. A Dispensary for the treatment of tuberculosis was opened in September, 1911. The following is the summary of the work referring to the period 1st January to 31st December, 1915:— Insured persons treated 444 Uninsured ,, 2,065 In attendance on January 1st, 1915:— Treatment. Observation. Insured. Uninsured. Insured. Uninsured. 163 424 29 407 Total attendances year ending Dec. 31st 13,086",Woolwich,"married,women",bigram search,b1982340x,Woolwich.1915.b1982340x.txt,1915,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"of the enquiry of the Carnegie United Kingdom Trust, there may be a further grant from this source, thereby still further reducing the cost to the Council. I am, your obedient servant, GEORGE F. BUCHAN, Mcdical Officer. APPENDIX D. 17th July, 1916. To the Chairman and Members of the Health Committee. DAY AND NIGHT NURSERY EOR CHILDREN OF MUNITION WORKERS. As instructed by the General Purposes Committee I beg to report on the above subject. The Matron of the Women Workers at the Perivale Fuse Filling Factory brought under my notice the difficulty of obtaining and retaining the services of married women at this factory on account of their inability to make arrangements for the care of their children. She informed me that there were approximately 1,800 women workers in the factory now, and that when the buildings were completed and the factory full, there would be not less than 4,000 to 5,000 women workers. Enquiries made by her amongst the women now employed at the factory showed that at the present time there were 26 who would leave 30 children to be looked after by day, and a similar number by night, and the Matron was of opinion that",Willesden,"married,women",bigram search,b19796699,Willesden.1916.b19796699.txt,1916,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"some other child is reared in a yet more healthy manner. I would like the Committee to get clearly in. their minds that a child is a living unit from the time that conception occurs in the mother's womb. It will therefore be readily understood and conceded that everything that helps the mother helps the child. The first problem then is how can the mother be helped. There are many methods. There should be no industrial employment of women before and for some time after childbirth. Indeed it would be to the national advantage if there were no employment of married women who are rearing families. The mother during the period of bearing and nursing the child must be well fed. Willesden has recognised this fact and has provided hot and wholesome mid-day meals for expectant and nursing mothers. 907 such meals were provided during the eight weeks since the Committee last met. Medical advice should be available for the mother during pregnancy and a Municipal Antenatal Clinic has been established at 9, Willesden Lane, for expectant mothers. This has proved a boon and is being increasingly made use of. Such clinics will also be associated with the other clinics",Willesden,"married,women",bigram search,b19796705,Willesden.1917.b19796705.txt,1917,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"during the first 4 weeks of life. Twenty deaths were due to premature birth, including Congenital Debility and Malformation, 5 to Pneumonia, 3 to Bronchitis, and 1 to Diarrhœa. I have in an earlier part of the Report given an account of the work done by the Child Welfare Department, and I think that the figures with regard to infantile mortality afford unmistakeable evidence of the value of that work. The sanitary conditions of the district are all favourable, there are no slums, no back to back houses, plenty of open spaces and fresh air, there are no industries employing married women to any large extent, and work has been fairly plentiful so that with the exception of that due to the strike of moulders there has been very little unemployment. 52 Table I.—Vital Statistics of Whole District during 1919 and previous years. Year. Population estimated to middle of each year. Births. Ttl. Deaths registrd. in the Distr's. Transferable Deaths. Nett Deaths belonging to the District. Uncorrected Number. Nett. Number. Rate. of Non-residents registered in the District. of Resid'ts not registered in the District. Under 1 year of age. At all Ague, Number Rate. No. Kate per 1000 nett Births.",Erith,"married,women",bigram search,b19789713,Erith.1919.b19789713.txt,1919,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"simply results in the more complete dissemination of dust into the atmosphere. 10. Industrial employment of many of our women in the borough is probably one of the important influences at work, for it is obvious that girls and young women who are employed in industrial work for many hours daily have but little time to make themselves practically familiar with the very numerous, and often apparently unimportant matters, which make all the difference between a well-ordered home and one which lacks the influence of a capable mother. Nevertheless, to what extent and in what manner the industrial employment of married women affects the infantile mortality is still a matter of discussion. Until the present improved social conditions of the bread winner the harmful effects were partly counteracted by the greater comfort and increased nourishment which such employment enabled the mother to secure. The mortality from prematurity and congenital defects is higher in the East Ward of Deptford than in the remainder of the Borough and greater than the average of some other large towns. One reason why diarrhœal diseases are excessive in the locality mentioned above may partly be put down to artificial feeding, but the disadvantages of artificial",Deptford,"married,women",bigram search,b18123740,Deptford.1919.b18123740.txt,1919,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"and 24 as a result of the subsequent examinations. The reasons for rejection were: unsatisfactory general health, 9 ; defective vision, 9 ; unsatisfactory condition of heart, 3 ; defective teeth, 14 ; miscellaneous, 7. Cases specially referred These referred cases relate to leave granted to employees absent owing to personal illness; to cases in which questions have arisen in regard to students in institutions for higher education whose health is considered such as to render exceptional attention advisable; to teachers returning to duty after extended leave of absence (a) owing to personal illness, (b) for educational purposes, (c) to married women under No. 31 of the regulations in regard to the education service; to teachers about to be superannuated; to teachers demobilised from the Forces who applied for special consideration owing to wounds, etc.; and to cases in which claims were received from teachers and others in the permanent service for exceptional treatment as regards sick pay and re-imbursement of medical and other expenses in respect of illnesses alleged to be due to the conditions under which they were required to carry out their duties. The number of cases thus specially referred was 1,565, as compared with 1,262 in",LondonCountyCouncil,"married,women",bigram search,b18252679,LondonCountyCouncil.1919.b18252679.txt,1919,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"comprises Bedford Park is almost entirely residential in character, and there are only a few factories in the ward, and these are along the borders of the ward. A considerable proportion of the inhabitants, and especially those of the North East, North West and South East Wards are employed outside the district. The oldest industry, and at one time the most important, and almost the sole one, is the laundry industry. This industry has been established in the district for nearly half a century, and absorbs a large number of workers. In August 1915, there were 1048 single and 1640 married women employed in the laundry industry. It is probable that this number was exceeded ten years ago, and it is likely that at the present time fewer persons are employed than in 1915. The introduction of labour saving machinery has had the effect of closing most of the hand laundries, and this fact alone would account for a diminished number of employees. But it is also possible that less work is now done in the laundries of the district than was the case ten years ago. In addition to the small hand laundries, some factory laundries have recently been",Acton,"married,women",bigram search,b19783498,Acton.1919.b19783498.txt,1919,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"63 ; unsatisfactory personal hygiene 10 ; defective teeth 12 ; unsatisfactory general health 23 ; tuberculosis 3 ; unsatisfactory condition of heart 5 ; miscellaneous 33. Cases specially referred. There are also referred to the Public Health Department cases in relation to employees in the Education Service absent owing to personal illness ; questions in regard to students in institutions for higher education whose health is considered such as to render exceptional attention advisable ; cases of teachers returning to duty after extended leave of absence (a) owing to personal illness ; (b) for educational purposes ; (c) to married women under No. 31 of the Regulations in regard to the Education Service; cases of teachers about to be superannuated; applications for special consideration owing to wounds, etc., of teachers demobilised from the Forces ; and claims received from teachers and others in the permanent service for exceptional treatment as regards sick pay and re-imbursement of medical and other expenses in respect of illnesses alleged to be due to the conditions under which they may have been required to carry out their duties. The number of cases thus specially referred was 1,806, as compared with 1,565 in 1919, an",LondonCountyCouncil,"married,women",bigram search,b18244105,LondonCountyCouncil.1920.b18244105.txt,1920,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"out simple tasks, such as weighing the babies and the sale of virol, etc. To take over temporarily their infants from the mothers enables the latter to give their undivided attention to the health-talks of the Lady Superintendent, Miss A. Bintcliffe, who was appointed in April, 1921. These little talks, now resumed, will benefit the loving, but ignorant, mothers immensely. I hope that the horrid spectacle of babies sucking "" dumb teats "" will never be seen again in our Centres. Married Women's Labour.—Ever since I have had women officers on my staff, they have been instructed to advise all married women to let the care of the home, husband and children, take the first place in their life-work and therefore not to attempt work which necessitates their absence from the home for long periods of each day. Shocking examples of neglect of this advice too frequently come under my notice in connection with dirty homes and verminous and neglected children. This teaching has been continued up-to-date, but it is difficult for myself and officers to enforce in Edmonton, when it is common knowledge that my Council itself employs married women amongst the school teachers. Indeed, the medical officers of",Edmonton,"married,women",bigram search,b19788721,Edmonton.1920.b19788721.txt,1920,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"as the result of their subsequent examination. The reasons for rejection were :—defective vision 48; unsatisfactory personal hygiene 10; defective teeth 10; unsatisfactory general health 17; unsatisfactory condition of heart 2; miscellaneous 25. There are also referred to the Public Health department special cases of employees in the education service absent owing to personal illness ; questions in regard to students in institutions for higher education whose health is considered such as to render exceptional attention advisable ; cases ofteachers returning to duty after extended leave of absence (a) owing to personal illness ; (6) for educational purposes; (c) to married women under No 31 of the Regulations in regard to the education service ; cases of teachers about to be superannuated ; applications for special consideration owing to wounds, etc., of teachers demobilised from H.M. Forces ; and claims received from teachers and others in the permanent service for exceptional treatment as regards sick pay and re-imbursement of medical and other expenses in respect of illnesses alleged to be due to the conditions under which they may have been required to carry out their duties. The number of cases thus referred was 2,333 as compared with 1,806 in 1920,",LondonCountyCouncil,"married,women",bigram search,b18252680,LondonCountyCouncil.1921.b18252680.txt,1921,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"the end of 1921 will be found on pages 5 and 6. Dr. G. T. Calthrop, Tuberculosis Officer, resigned his position in July, but continued to act until 1st October. His place was taken from 3rd October by Dr. G. F. Hardy, M.C., who was appointed temporarily. Dr. Gladys Miall-Smith, Assistant Medical Officer for Maternity and Child Welfare, left the Council's service on 19th November, in consequence of her marriage. Her medical consultations at the Council's Centres were undertaken temporarily by part-time medical officers. In consequence of the same resolution of the Council on the subject of the employment of married women whose husbands were in a position to support them, Mrs. Barrett and Mrs. Cook, assistants at the Personal Cleansing Station, and Mrs. Reid, assistant at the Prospect Terrace Baths, left in July. Mrs. Baxter's place was filled temporarily and Mrs. A. Wright and Mrs. A. Styles were appointed at the Cleansing Station on 13th July. Mrs. Wright afterwards resigned and Mrs. L. Blaby was appointed in her place on 16th November. Mrs. L. Arnold was appointed in Mrs. Reid's place on 13th July. Miss H. Payne, sanitary inspector, left the Council's service at the end of May in",StPancrasMetropolitanBorough,"married,women",bigram search,b1825200x,StPancrasMetropolitanBorough.1921.b1825200x.txt,1921,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"men to work on munitions during the war. The smaller proportion of females in the age groups 20-39 may be due to young women leaving Woolwich to find employment elsewhere, or to the fact that the London female population at these ages is increased by provincial immigrants who would not be likely to settle in Woolwich where there is very little opportunity for them to find work. This explanation is supported by the fact that, comparatively speaking, there is less female labour employed in Woolwich than in any other Metropolitan Borough, and particularly is this so in the case of married women of whom, approximately, one in twenty is employed compared with one in nine in London as a whole. 14 SECTION II.—VITAL STATISTICS. In accordance with the requirements of the Ministry of Health, the following extracts from the Vital Statistics of year are shewn below. TABLE No. 4. Births—Legitimate 2,835 „ Illegitimate 106 2,941 Birth rate 21.3 Deaths 1,603 Death rate 1.6 Number of women dying in, or in consequence of, child birth 6 (a) From Sepsis 3 (6) From other causes 2 Deaths of infants under 1 year 184 (a) Legitimate 171 (b) Illegitimate 13 Infantile Mortality rate",Woolwich,"married,women",bigram search,b19823447,Woolwich.1922.b19823447.txt,1922,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"62 members. The average population and electorate respectively are 72,331 and 33,935. The City of London returns two members though the census population is only 13,709 or 6,855 per member ; whereas, in Holborn the population is 43,192 per member. The population exceeds 100,000 in fiveconstituencies, namely, Deptford, Greenwich, Islington (North), St. Marylebone and Shoreditch. For the County of London the electorate forms 93.4 per cent. of the male population and 79.9 per cent. of the female population in the age classes above 21 for males and above 30 for females. Most of the women on the Parliamentary Register are married women who derive their right to the franchise because of their husband's occupation of premises. Buildings, Dwellings, Rooms and Families. A new term has been introduced as the housing unit serving as the basis of the returns. This is called a "" structurally separate dwelling "" and it means any room or set of rooms having separate access either to a street or to a common landing or staircase accessible to visitors. Each flat in a block of flats is a separate unit. A private house which has not been structurally divided is a single unit, whether occupied by",Deptford,"married,women",bigram search,b20106798,Deptford.1922.b20106798.txt,1922,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"in the Borough is given in the Census Report as 17,853; of this number 14,728 are stated to be gainfully occupied. The total number of females over 12 is given as 19,652; of this number 10,333 were described as gainfully occupied. The following table gives the population in Holborn over 12 years of age in relation to marriage and occupation:— Males. Females. Single. Married. Widowed or Divorced. Single. Married. Widowed or Divorced. Total 8 708 8,297 947 9,415 7,741 2,496 Number occupied 6,643 7,296 689 7,149 1,830 1,354 Number not occupied 2,065 901 159 2,266 3,911 1,142 The number of married women occupied away from their homes is equal to 23.7 per cent. of the total number of married women in the Borough. This high percentage of wives following an occupation is exceeded in London only in the City of London, where the proportion is 30.6 per cent., and in the Borough of Shoreditch, 24.1 per cent.; Holborn is closely followed by Finsbury with 23.1 per cent.; at the other end of the scale we have Woolwich with 5.3 per cent., Lewisham 6.1 per cent., Wandsworth 7.8 per cent., and Stoke Newington 10.2 per cent. The chief occupations of the",Holborn,"married,women",bigram search,b18116565,Holborn.1923.b18116565.txt,1923,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"223 1205 23 This table shows that 45.8 per cent. of the male population in Ilford are married and 51.4 per cent. are single, and that 39.5 per cent. of female population are married and 52.7 per cent. single. In actual numbers, however, there were only 17,711 married men present as compared with 18,378 married women. The total numbers returned as divorced were 16 males and 24 females. The proportion of married men is higher in Ilford than in the county as a whole, and also exceeds the averages for East Ham, West Ham, Leyton and Walthamstow. The proportion of married women shows a much smaller excess over the county average but is higher than those for all the four above-mentioned towns, except East Ham. The appended list shows the occupations followed by the largest number of persons living in Ilford:— Males. Females. Clerks 4,904 3,351 Domestic servants (indoor) 51 2,036 Salesmen and shop assistants 1,113 949 Proprietors and managers of wholesale and retail business 1,197 178 Civil Service officials and clerks 895 256 Teachers 392 696 Commercial travellers 825 12 General labourers 748 9 Local Authorities. Officials and Clerks 450 49 Postmen and sorters 423 7 Carpenters 388 —",Ilford,"married,women",bigram search,b19969910,Ilford.1923.b19969910.txt,1923,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"the distribution reveals some puzzling figures and does not lead to a definite conclusion. In the poor working class Metropolitan Borough of Shoreditch, the rate of mortality in 1919-22 (2.55) was the lowest but two of all the Metropolitan Boroughs, surpassed only by the City of 17 London-a very special district-1.66 and the working class Borough of Stepney (2.42). Both Hampstead and Lewisham with the lowest rates of infant mortality of the metropolis had higher maternal mortality rates than Shoreditch (with the highest rate of infant mortality). Maternal mortality does not seem to bear much relation to the percentage of married women engaged in extra-domestic duties. In the Metropolitan Boroughs, the lowest mortalities are in those districts which have the highest percentage of married women engaged in some extra-domestic occupation. In last year's report, figures were given showing the position of Acton in this respect. The relationship between these two factors has been discussed, but no definite conclusion can be drawn. Certain kinds of employment may be harmful. The nature of the work may be such as to exert a harmful effect upon pregnancy and child-bearing, as, for example, certain processes necessitating the use of lead; or the work may",Acton,"married,women",bigram search,b19783541,Acton.1924.b19783541.txt,1924,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"examinations. The reasons for rejections were: defective vision, 97 ; unsatisfactory general health, 40 ; unsatisfactory condition of heart, 13 ; miscellaneous, 32. One candidate was reiected for two defects. Cases specially referred. Ihere are also referred to the public health department special cases or employes in the education service absent owing to illness ; questions in regard to students 105 in institutions for higher education whose health renders exceptional attention advisable ; teachers proceeding overseas under the interchange scheme ; teachers returning to duty after extended leave of absence (i.) owing to personal illness; (ii.) for educational purposes; (iii.) married women under E.22 of the Regulations ; teachers about to apply for a breakdown allowance ; applications for special consideration owing to wounds, etc., of teachers demobilised from H.M. Forces ; and claims received from teachers and others in the permanent service for exceptional treatment as regards sick pay and reimbursement of medical and other expenses, in respect of illnesses alleged to be due to the conditions under which they may have to work. The number dealt with was 3,751 as compared with 3,154 in 1923, an increase of 597, due largely to extensive sickness in the early part",LondonCountyCouncil,"married,women",bigram search,b18252710,LondonCountyCouncil.1924.b18252710.txt,1924,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"apparatus and the Middlesex King Edward Memorial scheme in giving holidays at their Holiday Home at Heme Bay for anaemic or badly nourished children. —101— NURSERY SCHOOLS. There are no nursery schools in the district. Children under 5 years of age are admitted to the Infants' Departments whenever, in the opinion of the School Attendance Committee, it is desirable because the children cannot be properly cared for at home on account of the mother having to go out to work or on account of some other circumstance militating against proper care at home during the ordinary school hours. Very few married women are engaged in regular employment in the district and consequently there is little demand for a special nursery school. SECONDARY SCHOOLS. Secondary Schools, one for boys and one for girls, have been provided by the Middlesex Education Committee in Ealing. The school for girls was opened during the year under review. Medical inspection is carried out by the Ealing School Medical Department, but the report on this inspection is submitted to the Middlesex Education Committee. BLIND, DEAF, DEFECTIVE AND EPILEPTIC CHILDREN. The school enquiry officers report to the school medical department all children of school age who are",Ealing,"married,women",bigram search,b19787856,Ealing.1925.b19787856.txt,1925,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"part of the Borough where poor persons can obtain this special form of treatment except the Archer Street Infant Welfare Centre, where a limited amount of massage is performed. When the new Princess Louise Kensington Hospital for Children is opened the question will then arise as to continuing the work at this Centre, but for the present this institution is worthy of support. KENSINGTON MATERNITY HOME. The Kensington Maternity Home was opened in 1924 and consists of a detached ward of ten beds in the southern portion of the grounds of St. Mary Abbot's Hospital. The Home is available for married women of all classes whose home conditions are not suitable for their confinement or who cannot afford to pay the fees charged in private nursing homes. The medical and nursing personnel, the food and other necessities are supplied by the Guardians. For services, etc. rendered, the Borough Council pay 5s. per day for each maternity case admitted and they also pay the cost of any additional medical or nursing staff which the Guardians may find it necessary to employ. Details of the scheme, which has been approved by the Ministry of Health, are as follow :— Admission of Patients.",Kensington,"married,women",bigram search,b18221981,Kensington.1925.b18221981.txt,1925,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"Number of occupied houses. Number of occupied houses. 1921. 1921. 1923. 1925. Chelsfield 525 485 560 605 Cudham 532 532 600 734 Downe 170 167 180 174 Farnborough 525 512 600 600 Hayes 232 222 230 246 Keston 251 237 274 309 Knockholt 236 233 277 271 Mottingham 369 296 329 327 North Cray 153 149 151 150 Orpington 1305 1243 1369 1513 St. Mary Cray 523 478 468 435 St. Paul's Cray 334 325 253 304 West Wickham 292 281 278 308 Totals 5,447 5,160 5,569 5,976 The local age and condition distribution are:— Area. Average age. Number of married women under 45 per 1000 women of all ages. Number of females per 1000 males. Males. Females. Bromley Rural District 31.0 32.1 212 1059 OCCUPATIONS BY SEX—1921. Males. Females. Total population 12,632 13,380 Aged 0—11 2,781 2,679 Aged 12 and upwards 9,851 10,701 I Fishermen 2 — II Agricultural occupations 2,103 397 III Mining and quarrying occupations 20 — IV Makers of coke, lime, cement, etc. 4 — V Makers of bricks, pottery, glass 14 — VI Workers in chemicals, paints, etc. 17 — VII Metal workers 478 2 VIII Workers in precious metals 6 — IX Electrical apparatus",Bromley,"married,women",bigram search,b19785525,Bromley.1925.b19785525.txt,1925,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"Borough where poor persons can obtain this special form of treatment except the Archer Street and Campden Hill Infant Welfare Centres, where a limited amount of massage is performed. When the new Princess Louise Kensington Hospital for Children is opened the question will then arise as to continuing the work at this Centre, but for the present this institution is worthy of support. KENSINGTON MATERNITY HOME. The Kensington Maternity Home was opened in 1924 and consists of a detached ward of ten beds in the southern portion of the grounds of St. Mary Abbot's Hospital. The Home is available for married women of all classes whose home conditions are not suitable for their confinement and who cannot afford to pay the fees charged in private nursing homes. 76 The medical and nursing personnel, the food and other necessities are supplied by the Guardians. For services, etc. rendered, the Borough Council pay 5s. per day for each maternity case admitted and they also pay the cost of any additional medical or nursing staff which the Guardians find it necessary to employ. Statement of Work done, &c. 1924. Oct. 1st to Dec. 31st 1925. 1926. No. of applications for admission 36 112",Kensington,"married,women",bigram search,b18222006,Kensington.1926.b18222006.txt,1926,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"giving holidays, at their Holiday Home at Heme Bay, for anaemic or badly nourished children. NURSERY SCHOOLS. There are no Nursery Schools in the district, but children between 4 and 5 years of age are admitted to the Infants' Departments whenever, in the opinion of the School Attendance Committee, it is considered advisable that the children should be cared for in school when they cannot be properly cared for at home on account of the mother having to go out to work or on account of some other circumstance preventing proper care at home during ordinary school hours. Comparatively few married women are engaged in regular employment in the Borough and consequently there has not been much demand for Nursery Schools. SECONDARY SCHOOLS. There are two Secondary Schools in Ealing provided by the Middlesex Education Committee, one for boys and one for girls the latter having been opened in February, 1926. Medical Inspection is carried out for this Committee by the Ealing school medical staff. BLIND, DEAF, DEFECTIVE AND EPILEPTIC CHILDREN. The School Enquiry Officers report to the School Medical department all children of school age who are blind, deaf, defective or epileptic and not in attendance at any school;",Ealing,"married,women",bigram search,b19787868,Ealing.1926.b19787868.txt,1926,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"King Edward Memorial Committee in giving holidays, at their Holiday Home at Heme Bay, for anaemic or weakly children. NURSERY SCHOOLS. There are no Nursery Schools within the Borough, but children between 4 and 5 years of age are admitted to the Infants' Departments whenever the School Attendance Committee is of opinion that it is to their advantage, on account of special home circumstances such as the occupation of the mother or the overcrowded or unsuitable conditions, to be admitted. Each case is considered on its merits by the Committee on an application being made by the parents. Very few married women in the district are engaged in regular employment, so that there has at no time been any insistent demand for Nursery Schools. SECONDARY SCHOOLS. Medical inspection at the two Secondary Schools, provided by the Middlesex Education Committee, is carried out by the Ealing School Medical Staff. This arrangement is very convenient as the great majority of the boys and girls attending these schools come from Ealing Public Elementary Schools, where they have already been under medical supervision. 69 BLIND, DEAF, DEFECTIVE AND EPILEPTIC CHILDREN. Specially defective children are ascertained through the School Enquiry Officers, who report all such",Ealing,"married,women",bigram search,b1978787x,Ealing.1927.b1978787x.txt,1927,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"at Heme Bay to anaemic and weakly children. NURSERY SCHOOLS. The Local Education Authority have not established any Nursery Schools, but children between four and five years of age are admitted to the Infants' Departments if accommodation is available whenever the School Attendance Sub-Committee are satisfied that it will be of advantage to the child to be so dealt with, because of particular circumstances such as the employment of the mother or the overcrowded or unsuitable conditions of the home. Each case is considered on its merits by the Committee on an application being made by the parents. Very few married women engage in regular employment in the Borough so that there is no insistent demand for Nursery Schools. 69 SECONDARY SCHOOLS. By an arrangement with the Middlesex Education Committee, the Ealing School Medical Staff carries out medical inspection at the Secondary Schools for boys and girls. This arrangement is very suitable as most of the boys and girls attending these schools come from Public Elementary Schools where they have already been under medical supervision. BLIND, DEAF, DEFECTIVE AND EPILEPTIC CHILDREN. Specially defective children are ascertained through the School Enquiry Officers, who report all such cases not attending school, through",Ealing,"married,women",bigram search,b19787881,Ealing.1928.b19787881.txt,1928,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"determining factor which brought offenders into the hands of the police. They had been leading a ""harried existence,"" constantly losing jobs for reasons over which they had little real control, constantly at loggerheads with relatives for being unable to keep work. Nineteen had lived promiscuously of whom 6 had had no employment at any time but had lived by prostitution and pilfering. Six of the women had suffered from venereal disease. Of the 50 unmarried girls, nine had borne children. Of these, 6 had had one child each, 1 two children and two had had 3 children each. The 8 married women had borne 20 children, three of them were childless and the remaining five women had families of 1, 3, 4, 5 and 7, respectively. Of the 34 children eight were dead, 2 only were known to be defective, 2 more were probably in this category although information on this point was incomplete because many of the children were in the care of guardians or relatives at a distance. Of the 32 London cases, however, it is possible to say definitely that they had only 2 defective among their offspring, who had attained school age. Information about family histories",LondonCountyCouncil,"married,women",bigram search,b1825276x,LondonCountyCouncil.1929.b1825276x.txt,1929,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"51 of the deaths, the death was due to a pre-natal cause such as premature births, inanitation, congential debility etc. Into all these deaths, enquiries are carefully made, and though the mothers state the premature birth was brought about by some accident, such as a fall in the house, or a fright or some other innocent or trivial cause, there is reason to believe that other 48 causes have been in operation. Formerly, extra domestic labour carried on into late pregnancy was supposed to have considerable influence in bringing: about a premature birth. It is quite conceivable that employment of married women in laundries, which involved prolonged periods on their feet and in an upright position would be conducive to premature birth, but such conditions are now rare and in very few instances were the mothers employed in laundries or in any other industrial employment. An examination of the distribution of deaths from prematurity and other pre-natal causes would suggest that extra domestic labour is not now an important factor. The relative incidence of deaths from pre-natal causes is Jower in the South West Ward than in the other Wards. We hear nowadays a good deal about birth-control and instruction",Acton,"married,women",bigram search,b19783590,Acton.1929.b19783590.txt,1929,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
"for the valuable assistance from the Central Aid Society, who assist in obtaining Special Hospital and Convalescent Home treatment for anaemic or badly nourished children; from the National Society for the Prevention of Cruelty to Children in bringing pressure to bear on parents who are neglecting their children; from the School Attendance Aid Committee in supplying boots for necessitous children and from the Middlesex King Edward Memorial Committee in giving holidays at their Holiday Home at Heme Bay to anaemic and weakly children. NURSERY SCHOOLS. There is little demand for the establishment of Nursery Schools in the Borough. Very few married women engaged in regular employment and the housing difficulties are not so insistent as they are in crowded industrial areas. The Education Committee have therefore not established any Nursery Schools or Classes but children between four and five years of age are admitted to the Infants' Departments whenever accommodation is available and whenever the Attendance Sub-Committee are satisfied that it will be of advantage to the children to be admitted. Each case is considered on its merits on the application of the parents to the Sub-Committee. SECONDARY SCHOOLS. On behalf of the Middlesex County Council the Ealing School Medical",Ealing,"married,women",bigram search,b19787893,Ealing.1929.b19787893.txt,1929,"employment,employed,employee,work,working,worked,job,occupation",bigram + list of terms
