contextText,location_fromMOH,searchCriteria_bigram,searchCriteria_type,source_bNumber,source_fileName,time_year
"oost of the Woolwich shelter is about £9, and the cost of the Street shelter £4. These shelters are lent at a small rent varying from 1s. 6d. to 3d. per week, according to means. Only those who have no source of income are now exempted from payment. The weekly call to collect the rent insures that the shelter is being used. Shelters were lent to 22 persons last year, 17 men, 4 women, and 1 boy. 4 of these had the shelter free, 1 paid 3d., 15 paid 6d., and 2, 1s. a week. Two have been occupied by married women for nearly three years. Most of the patients using shelters are now under the supervision of the Tuberculosis Dispensary. 71 The results have been eminently satisfactory. In many cases the shelters have been of the greatest value in enabling an advanced and infectious case to be isolated from other members of the family; without the shelter the patient would have had to occupy the same bedroom, if not the same bed, as other persons. Three bedsteads with bedding are also being lent to needy cases too poor to provide such. 84a. Tuberculosis Dispensary. A Dispensary for the treatment",Woolwich,"married,women",bigram search,b19823381,Woolwich.1913.b19823381.txt,1913
"Mall 10 Victoria 723 Great Marlborough 71 St. Margaret 93 Charing Cross 25 St. John 623 Covent Garden 87 Knightsbridge Hamlet 73 Strand 5 The birth-rate, uncorrected, was 12'6, corrected 14'2 per 1,000 persons. The corrected birth-rate for the five years 1903—7 was 17'2, and for the five years 1908—12, 15-4 per 1,000. The birth-rate for the County of London for 1913 was 24-5, the rate during the preceding ten years averaged 25'8 per 1,000. The birth-rate in England and Wales was 23'9 ; the average of the preceding ten years was 27'1. The birth-rate calculated on the number of married women in Westminster, distinguishing the legitimate and illegitimate, shows more exact rates:— Westminster. 1906. 1907. 1908. 1909. 1910. 1911. 1912. 1913. Legitimate Births (net) 2,744 2,764 2,739 2,548 2,399 2,195 2,194 2,057 16.1 16.4 16.4 15.5 14.7 13.7 13.8 13.0 Illegitimate Births (net) 187 163 174 203 193 166 155 176 0.47 0.42 0.45 0.53 0.51 0.44 0.42 0.48 7 During the year notification was received of 1,462 births which took place in Westminster; of these, 38 were stillborn children, whose births are not subsequently registered; (12 other stillbirths were known but not notified). By comparing the births which",CityofWestminster,"married,women",bigram search,b18247787,CityofWestminster.1913.b18247787.txt,1913
"to the homes of patients. It should be stated that some of those visits related to cases notified in previous years. Women and children patients are visited by the female inspectorial staff, and during the year 1634 visits and revisits were paid to the homes of these patients. The number of women known to be suffering from Tuberculosis (all forms) at the end of 1913, was 323, classified as follows :— Tuberculosis of the lungs (Phthisis) 303 Tuberculosis of the glands 2 Tuberculosis of the limb 13 Tuberculosis of the skin 5 Of these 323 women Tuberculosis patients, 162 were married women and 151 unmarried. There were 51 deaths of women patients during the year (35 married, 14 single). Forty-nine of these deaths were due to Phthisis. It is evident from the result of the statistics so far rendered available owing to the compulsory notification of Tuberculosis that there is a very widespread distribution of the disease amongst children. Thus in Battersea the number of children known to be suffering from the disease (all forms) is 319, classified as follows :— Tuberculosis of the lungs (Phthisis) 215 Tuberculosis of the spine 12 Tuberculosis of the limb 39 Tuberculosis of the",Battersea,"married,women",bigram search,b18111208,Battersea.1913.b18111208.txt,1913
"Employments. Although in some cases it has not been easy to determine the past or present occupations of some 111 of the 220 Heads of families, they may be roughly classified as follows:— Men 125 in unskilled labour (of whom few are in regular employment. 19 in skilled trades. 21 costers or general dealers. 10 organ grinders or professional beggars. 12 no occupation or unknown. 2 agents for the property. 189 Total As quite a number of these men are from various causes habitually out of work, or do only occasionally wood chopping or costering, there are in consequence 47 married women who either supplement their wages or who are the real wage earners of the family. About half of these women work at laundries and the rest are employed charring, or similar work. There are also 36 widows or deserted wives who support their families in the following ways:— 18 work in laundries or do charing, etc. 2 have small shops. 5 are costers or professional beggars. Thus out of 226 families, 93 are seen to be mainly, if not entirely dependant on the work of the women. Police Records, &c. The records of police convictions have not been",Fulham,"married,women",bigram search,b18110885,Fulham.1913.b18110885.txt,1913
"women of to-day cannot be fairly compared with the young women of the London of fifty years ago ; and they differ very widely in respect of the extent to which they may be expected to contribute to the London birth rate. An obvious difference in this respect arises owing to the fact that the large unmarried domestic servant class consists of women, who in very many instances, when they marry leave London ; there is, moreover, a distinct selective influence exercised, under modern conditions of London life, which materially affects the constitution, as regards social status, of the young married women transferred from the country to London. Influences such as these have quite unobtrusively transformed the London mothers of a later generation away from any close resemblance to those of an immediately preceding or of a yet earlier generation. The early Victorian married women of childbearing age cannot, therefore, legitimately be compared with the married women of like ages to-day, and failure to recognise this quite obvious fact is apt to cause much misunderstanding. Similar considerations to those just mentioned exercise influence, too, in connection with the observed decline of the death rate, but this subject has already been",CityofLondon,"married,women",bigram search,b18197309,CityofLondon.1914.b18197309.txt,1914
"of work largely engaged in locally is fieldlabour in the market gardens. In this class of work the wages paid are low, and a considerable amount of female labour is used. The number of women returned as engaged in agriculture is 146, but this is largely a seasonal trade, and it should be borne in mind that the Census is taken in April: probably the actual number is much greater. 7 Female labour is also largely used in the Chemists' Works, the Soap Factory, the Confectionery Works, and the Laundries. The Census of Occupations gives the proportion of (industrially) occupied married women as 95 per 1,000 of all occupied women. I have been unable to furnish the information with respect to the amount of poor-law relief. There are approximately, however, 750 old age pensioners in this district. In addition to this, there are the Heston Charity Trustees and the Isleworth Parochial Charities, who provide monies for pensions. To state the extent to which Hospital and other forms of gratuitous medical relief are utilised, is somewhat difficult. If, however, the number of deaths occurring in Institutions is stated, it will probably give a rough idea of the extent to which these",Heston,"married,women",bigram search,b19969764,Heston.1914.b19969764.txt,1914
"and I do not think it is possible to improve upon the concise summary which the Medical Officer gives in that part of the Report- which deals with the Special Conditions associated with high Infant Mortality. 1. The relative importance of the many factors concerned in causing excessive infant and child mortality is difficult to assess; these factors are not identical for all districts. In this part of the present report special stress has been laid upon the factors of defective sanitation and housing, the removal of which is within the control of Sanitary Authorities. 2. The industrial employment of married women must necessarily involve some neglect of the home, and especially of any young children. 28 3. Conservancy systems of disposal of excreta are very commonly associated with excessive infant mortality. 4. The smallest incidence of disease, especially of diarrhœal diseases, occurs usually in districts supplied with water-closets. 5. In the history of several towns the conversion of a conservancy into a water-carriage system has been associated with a great reduction of mortality from diarrhœal diseases; whilst in other towns the continuance of conservancy systems has been associated with continued high diarrhœal mortality. 6. Unpaved yards and streets and",Finchley,"married,women",bigram search,b19790168,Finchley.1914.b19790168.txt,1914
"Table are the results of observations taken at the Royal Observatory, Greenwich. 10. Industrial employment of many of our women in the borough is probably one of the important influences at work, for it is obvious that girls and young women who are employed in industrial work for many hours daily have but little time to make themselves practically familiar with the very numerous, and often apparently unimportant matters, which make all the difference between a well-ordered home and one which lacks the influence of a capable mother. Nevertheless, to what extent and in what manner the industrial employment of married women affects the infantile mortality is still a matter of discussion. Under present social conditions, the harmful effects are partly counteracted by the greater comfort and increased nourishment which such employment enables the mother to secure. The mortality from prematurity and congenital defects is higher in the East Ward of Deptford than in the remainder of the Borough and greater than the average of some other large towns. One reason why diarrhceal diseases are excessive in the locality mentioned above may partly be put down to artificial feeding but the disadvantages of artificial feeding are further accentuated by the",Deptford,"married,women",bigram search,b18123697,Deptford.1914.b18123697.txt,1914
"552 26.7 Pembridge 288 15.6 Holland 209 10.3 Earl's Court 187 10.7 Queen's Gate 102 7.1 Redcliffe 204 10.6 Brompton 124 9.8 The Borough 3,153 18.4 The effects of social status on the birth-rate are illustrated by the fact that the rate for South Kensington is considerably less than half the rate for North Kensington, whilst the birth-rate for Golborne Ward in the North is more than four times as great as the rate for the Ward of Queen's Gate in the South. To a certain extent this wide discrepancy is no doubt due to differences in the numbers of married women of child-bearing age in the districts compared. The births occurring every year in Kensington have fallen in round numbers from 4,500 in 1880, to 3,150 in the present year. The steady decline in the birth-rate is shown in Table V. Appendix, p. 67, where the number of births and the birth-rates both for London and Kensington are given for each quinquennial period since 1881. The figures for each year were given in the Annual Report for 1908. 5 To estimate the effect of social status on the birth-rate in North and South Kensington, the female population of child-bearing",KensingtonMetropolitanBorough,"married,women",bigram search,b18235700,KensingtonMetropolitanBorough.1914.b18235700.txt,1914
"are occupied by men, 2 by women, 2 by boys, and 1 by a girl. These shelters are lent at a small rent varying from is. 6d. to 3d. per week, according to means. Only those who have no source of inoome are now exempted from payment. The weekly call to collect the rent insures that the shelter 78 is being used. Shelters were lent to 22 persons last year, 17 men, 4 women, and 1 boy. 4 of these had the shelter free, 1 paid 3d., 15 paid 6d., and 2, Is. a week. Two have been occupied by married women for nearly three years. Most of the patients using shelters are now under the supervision of the Tuberculosis Dispensary. Three bedsteads with bedding are also being lent to needy cases too poor to provide such. 83. Tuberculosis Dispensary. A Dispensary for the treatment of tuberculosis was opened in September, 1911. The following is the summary of the work referring to the period 1st January to 31st December, 1914:— Insured persons treated 320 Uninsured do. 1,754 Total attendances and home visits of doctors and nurses:— Insured 2,984 Uninsured 10,264 In attendance on March 31st, 1914:— Treatment. Observation. Insured. Uninsured.",Woolwich,"married,women",bigram search,b19823393,Woolwich.1914.b19823393.txt,1914
"means that over 800 mothers die each year in England and Wales, as the result of child-bearing, whose lives would be saved if the experience of the rest of England and Wales were as favourable as that of London. But the recorded experience of London in respect of 20 puerperal fever is as unfavourable as that of the provinces. If this disease were to be eliminated, as it has been substantially from the experience of many lying-in-hospitals, a further saving of 1,100 lives of mothers would be secured annually in England and Wales. The close relationship between factory work for married women and excessive mortality from child-bearing is indicated. Although dogmatism as to causation is not justified, and the need for further intensive inquiry is suggested by the facts under each heading, Dr. Newsholme says the presumption is justified that better arrangements for ante-natal care and for midwifery attendance would go far to reduce the mortality from child-bearing. In order that official action may be taken for reducing maternal mortaliy and suffering in child-bearing, measures must be adopted for ascertaining what cases need help. This condition, the report states, can be fulfilled by : (a) The provision of skilled assistance",Deptford,"married,women",bigram search,b18123703,Deptford.1915.b18123703.txt,1915
"air raids. 5 are occupied by men and 4 by women. 51 They are lent at a small rent varying from 1s. 6d. to 3d. per week, according to means. Only those who have no source of income are now exempted from payment. The weekly call to collect the rent insures that the shelter is being used. Shelters were lent to 24 persons last year, 18 men, 4 women, 1 boy and 1 girl. 4 of these had the shelter free', 1 paid 3d., 16 paid 6d., 1 paid 9d., and 2, 1s. a week. Two have been occupied by married women for nearly four years. Most of the patients using shelters are now under the supervision of the Tuberculosis Dispensary. 3 bedsteads with bedding are also being lent to needy cases too poor to provide such. 69. Tuberculosis Dispensary. A Dispensary for the treatment of tuberculosis was opened in September, 1911. The following is the summary of the work referring to the period 1st January to 31st December, 1915:— Insured persons treated 444 Uninsured ,, 2,065 In attendance on January 1st, 1915:— Treatment. Observation. Insured. Uninsured. Insured. Uninsured. 163 424 29 407 Total attendances year ending Dec. 31st 13,086",Woolwich,"married,women",bigram search,b1982340x,Woolwich.1915.b1982340x.txt,1915
"of the enquiry of the Carnegie United Kingdom Trust, there may be a further grant from this source, thereby still further reducing the cost to the Council. I am, your obedient servant, GEORGE F. BUCHAN, Mcdical Officer. APPENDIX D. 17th July, 1916. To the Chairman and Members of the Health Committee. DAY AND NIGHT NURSERY EOR CHILDREN OF MUNITION WORKERS. As instructed by the General Purposes Committee I beg to report on the above subject. The Matron of the Women Workers at the Perivale Fuse Filling Factory brought under my notice the difficulty of obtaining and retaining the services of married women at this factory on account of their inability to make arrangements for the care of their children. She informed me that there were approximately 1,800 women workers in the factory now, and that when the buildings were completed and the factory full, there would be not less than 4,000 to 5,000 women workers. Enquiries made by her amongst the women now employed at the factory showed that at the present time there were 26 who would leave 30 children to be looked after by day, and a similar number by night, and the Matron was of opinion that",Willesden,"married,women",bigram search,b19796699,Willesden.1916.b19796699.txt,1916
"some other child is reared in a yet more healthy manner. I would like the Committee to get clearly in. their minds that a child is a living unit from the time that conception occurs in the mother's womb. It will therefore be readily understood and conceded that everything that helps the mother helps the child. The first problem then is how can the mother be helped. There are many methods. There should be no industrial employment of women before and for some time after childbirth. Indeed it would be to the national advantage if there were no employment of married women who are rearing families. The mother during the period of bearing and nursing the child must be well fed. Willesden has recognised this fact and has provided hot and wholesome mid-day meals for expectant and nursing mothers. 907 such meals were provided during the eight weeks since the Committee last met. Medical advice should be available for the mother during pregnancy and a Municipal Antenatal Clinic has been established at 9, Willesden Lane, for expectant mothers. This has proved a boon and is being increasingly made use of. Such clinics will also be associated with the other clinics",Willesden,"married,women",bigram search,b19796705,Willesden.1917.b19796705.txt,1917
"during the first 4 weeks of life. Twenty deaths were due to premature birth, including Congenital Debility and Malformation, 5 to Pneumonia, 3 to Bronchitis, and 1 to Diarrhœa. I have in an earlier part of the Report given an account of the work done by the Child Welfare Department, and I think that the figures with regard to infantile mortality afford unmistakeable evidence of the value of that work. The sanitary conditions of the district are all favourable, there are no slums, no back to back houses, plenty of open spaces and fresh air, there are no industries employing married women to any large extent, and work has been fairly plentiful so that with the exception of that due to the strike of moulders there has been very little unemployment. 52 Table I.—Vital Statistics of Whole District during 1919 and previous years. Year. Population estimated to middle of each year. Births. Ttl. Deaths registrd. in the Distr's. Transferable Deaths. Nett Deaths belonging to the District. Uncorrected Number. Nett. Number. Rate. of Non-residents registered in the District. of Resid'ts not registered in the District. Under 1 year of age. At all Ague, Number Rate. No. Kate per 1000 nett Births.",Erith,"married,women",bigram search,b19789713,Erith.1919.b19789713.txt,1919
"the Ministry of Health be asked for sanction to borrow £500,000 for erecting 500 houses. On the 25th November the Education Committee asked the Council to provide sites on the Hyde Estate for a Central School and two elementary ones; this request was referred to the Housing and Town-Planning Committee. The Housing and Town Planning Committee reported on 26th November (submitted to the Council on December 23rd) that the lay-out plan of the Hyde Estate had been put before them by the Engineer, that the Committee be granted full powers to act, and the Committee be enlarged by co-opting three married women in an advisory capacity. This report was referred back. On 25th August, 1920, I received this note from our Engineer:—""A Housing Scheme has been drawn up for Edmonton, providing for 1,700 to 1,800 houses, containing from three to six rooms excluding the scullery. The site occupies a little over 170 acres, and is situated on the easterly side of the district, between Victoria Road and Firs Lane, and is already partly sewered and several 60 good roads constructed, which will enable building operations to be commenced at any time. The lay-out plan shows a Central Avenue running from",Edmonton,"married,women",bigram search,b1978871x,Edmonton.1919.b1978871x.txt,1919
"simply results in the more complete dissemination of dust into the atmosphere. 10. Industrial employment of many of our women in the borough is probably one of the important influences at work, for it is obvious that girls and young women who are employed in industrial work for many hours daily have but little time to make themselves practically familiar with the very numerous, and often apparently unimportant matters, which make all the difference between a well-ordered home and one which lacks the influence of a capable mother. Nevertheless, to what extent and in what manner the industrial employment of married women affects the infantile mortality is still a matter of discussion. Until the present improved social conditions of the bread winner the harmful effects were partly counteracted by the greater comfort and increased nourishment which such employment enabled the mother to secure. The mortality from prematurity and congenital defects is higher in the East Ward of Deptford than in the remainder of the Borough and greater than the average of some other large towns. One reason why diarrhœal diseases are excessive in the locality mentioned above may partly be put down to artificial feeding, but the disadvantages of artificial",Deptford,"married,women",bigram search,b18123740,Deptford.1919.b18123740.txt,1919
"and 24 as a result of the subsequent examinations. The reasons for rejection were: unsatisfactory general health, 9 ; defective vision, 9 ; unsatisfactory condition of heart, 3 ; defective teeth, 14 ; miscellaneous, 7. Cases specially referred These referred cases relate to leave granted to employees absent owing to personal illness; to cases in which questions have arisen in regard to students in institutions for higher education whose health is considered such as to render exceptional attention advisable; to teachers returning to duty after extended leave of absence (a) owing to personal illness, (b) for educational purposes, (c) to married women under No. 31 of the regulations in regard to the education service; to teachers about to be superannuated; to teachers demobilised from the Forces who applied for special consideration owing to wounds, etc.; and to cases in which claims were received from teachers and others in the permanent service for exceptional treatment as regards sick pay and re-imbursement of medical and other expenses in respect of illnesses alleged to be due to the conditions under which they were required to carry out their duties. The number of cases thus specially referred was 1,565, as compared with 1,262 in",LondonCountyCouncil,"married,women",bigram search,b18252679,LondonCountyCouncil.1919.b18252679.txt,1919
"comprises Bedford Park is almost entirely residential in character, and there are only a few factories in the ward, and these are along the borders of the ward. A considerable proportion of the inhabitants, and especially those of the North East, North West and South East Wards are employed outside the district. The oldest industry, and at one time the most important, and almost the sole one, is the laundry industry. This industry has been established in the district for nearly half a century, and absorbs a large number of workers. In August 1915, there were 1048 single and 1640 married women employed in the laundry industry. It is probable that this number was exceeded ten years ago, and it is likely that at the present time fewer persons are employed than in 1915. The introduction of labour saving machinery has had the effect of closing most of the hand laundries, and this fact alone would account for a diminished number of employees. But it is also possible that less work is now done in the laundries of the district than was the case ten years ago. In addition to the small hand laundries, some factory laundries have recently been",Acton,"married,women",bigram search,b19783498,Acton.1919.b19783498.txt,1919
"63 ; unsatisfactory personal hygiene 10 ; defective teeth 12 ; unsatisfactory general health 23 ; tuberculosis 3 ; unsatisfactory condition of heart 5 ; miscellaneous 33. Cases specially referred. There are also referred to the Public Health Department cases in relation to employees in the Education Service absent owing to personal illness ; questions in regard to students in institutions for higher education whose health is considered such as to render exceptional attention advisable ; cases of teachers returning to duty after extended leave of absence (a) owing to personal illness ; (b) for educational purposes ; (c) to married women under No. 31 of the Regulations in regard to the Education Service; cases of teachers about to be superannuated; applications for special consideration owing to wounds, etc., of teachers demobilised from the Forces ; and claims received from teachers and others in the permanent service for exceptional treatment as regards sick pay and re-imbursement of medical and other expenses in respect of illnesses alleged to be due to the conditions under which they may have been required to carry out their duties. The number of cases thus specially referred was 1,806, as compared with 1,565 in 1919, an",LondonCountyCouncil,"married,women",bigram search,b18244105,LondonCountyCouncil.1920.b18244105.txt,1920
"out simple tasks, such as weighing the babies and the sale of virol, etc. To take over temporarily their infants from the mothers enables the latter to give their undivided attention to the health-talks of the Lady Superintendent, Miss A. Bintcliffe, who was appointed in April, 1921. These little talks, now resumed, will benefit the loving, but ignorant, mothers immensely. I hope that the horrid spectacle of babies sucking "" dumb teats "" will never be seen again in our Centres. Married Women's Labour.—Ever since I have had women officers on my staff, they have been instructed to advise all married women to let the care of the home, husband and children, take the first place in their life-work and therefore not to attempt work which necessitates their absence from the home for long periods of each day. Shocking examples of neglect of this advice too frequently come under my notice in connection with dirty homes and verminous and neglected children. This teaching has been continued up-to-date, but it is difficult for myself and officers to enforce in Edmonton, when it is common knowledge that my Council itself employs married women amongst the school teachers. Indeed, the medical officers of",Edmonton,"married,women",bigram search,b19788721,Edmonton.1920.b19788721.txt,1920
"14.6 11.8 8.7 10.5 11.8 11.4 Brompton 161 12.9 8.1 6.5 7.2 8.8 9.7 Ward unknown 172 ... ... ... ... ... ... The effects of social status on the birth rate are illustrated by the fact that the rate for South Kensington usually is less than half the rate for North Kensington, whilst in 1920 the birth rate for Golborne Ward in the North was more than four times as great as the rate for the Ward of Queen's Gate in the South. To a certain extent, however, this wide discrepancy is due to differences in the numbers of married women of child-bearing age in the districts compared. For many years past the steadily decreasing birth rate throughout the country has given rise to great anxiety. During the last two years of the War the birth rate for Kensington was actuallv lower than the death rate. The birth rates in Kensington since 1881 are shown in the following table:— Period. Annual birth-rate per 1,000 population. 1881-1885 26.1 1886-1890 23.5 1891-1895 22.0 1896-1900 21.6 1901-1910 20.0 1911 18.7 1912 19.3 1913 19.4 1914 18.4 1915 18.0 1916 18.3 1917 14.8 1918 13.3 1919 16.1 1920 24.3 It was expected that",KensingtonMetropolitanBorough,"married,women",bigram search,b18235736,KensingtonMetropolitanBorough.1920.b18235736.txt,1920
"as the result of their subsequent examination. The reasons for rejection were :—defective vision 48; unsatisfactory personal hygiene 10; defective teeth 10; unsatisfactory general health 17; unsatisfactory condition of heart 2; miscellaneous 25. There are also referred to the Public Health department special cases of employees in the education service absent owing to personal illness ; questions in regard to students in institutions for higher education whose health is considered such as to render exceptional attention advisable ; cases ofteachers returning to duty after extended leave of absence (a) owing to personal illness ; (6) for educational purposes; (c) to married women under No 31 of the Regulations in regard to the education service ; cases of teachers about to be superannuated ; applications for special consideration owing to wounds, etc., of teachers demobilised from H.M. Forces ; and claims received from teachers and others in the permanent service for exceptional treatment as regards sick pay and re-imbursement of medical and other expenses in respect of illnesses alleged to be due to the conditions under which they may have been required to carry out their duties. The number of cases thus referred was 2,333 as compared with 1,806 in 1920,",LondonCountyCouncil,"married,women",bigram search,b18252680,LondonCountyCouncil.1921.b18252680.txt,1921
"the end of 1921 will be found on pages 5 and 6. Dr. G. T. Calthrop, Tuberculosis Officer, resigned his position in July, but continued to act until 1st October. His place was taken from 3rd October by Dr. G. F. Hardy, M.C., who was appointed temporarily. Dr. Gladys Miall-Smith, Assistant Medical Officer for Maternity and Child Welfare, left the Council's service on 19th November, in consequence of her marriage. Her medical consultations at the Council's Centres were undertaken temporarily by part-time medical officers. In consequence of the same resolution of the Council on the subject of the employment of married women whose husbands were in a position to support them, Mrs. Barrett and Mrs. Cook, assistants at the Personal Cleansing Station, and Mrs. Reid, assistant at the Prospect Terrace Baths, left in July. Mrs. Baxter's place was filled temporarily and Mrs. A. Wright and Mrs. A. Styles were appointed at the Cleansing Station on 13th July. Mrs. Wright afterwards resigned and Mrs. L. Blaby was appointed in her place on 16th November. Mrs. L. Arnold was appointed in Mrs. Reid's place on 13th July. Miss H. Payne, sanitary inspector, left the Council's service at the end of May in",StPancrasMetropolitanBorough,"married,women",bigram search,b1825200x,StPancrasMetropolitanBorough.1921.b1825200x.txt,1921
"men to work on munitions during the war. The smaller proportion of females in the age groups 20-39 may be due to young women leaving Woolwich to find employment elsewhere, or to the fact that the London female population at these ages is increased by provincial immigrants who would not be likely to settle in Woolwich where there is very little opportunity for them to find work. This explanation is supported by the fact that, comparatively speaking, there is less female labour employed in Woolwich than in any other Metropolitan Borough, and particularly is this so in the case of married women of whom, approximately, one in twenty is employed compared with one in nine in London as a whole. 14 SECTION II.—VITAL STATISTICS. In accordance with the requirements of the Ministry of Health, the following extracts from the Vital Statistics of year are shewn below. TABLE No. 4. Births—Legitimate 2,835 „ Illegitimate 106 2,941 Birth rate 21.3 Deaths 1,603 Death rate 1.6 Number of women dying in, or in consequence of, child birth 6 (a) From Sepsis 3 (6) From other causes 2 Deaths of infants under 1 year 184 (a) Legitimate 171 (b) Illegitimate 13 Infantile Mortality rate",Woolwich,"married,women",bigram search,b19823447,Woolwich.1922.b19823447.txt,1922
"the number of women aged 15-45 in London since 1911, but the number between these ages returned as married had, during the same period, increased by 8,954. The increase in London south of the Thames was 10,733, while north of the river there was a decrease of 1,779. Births. The births in London during 1922 numbered 94,792 the corresponding figure for 1921 being 99,839. The birth-rate was 20.9 per thousand of population as compared with 22.1 in 1921. The movement of the London birth-rate since 1850 is shown in the diagram on the last page. Notwithstanding the greater number of married women of child-bearing age shown by the census in 1921, as compared with 1911, the birth-rate shows a decline of nearly 11 per cent. Deaths. The deaths in the civil population of London, during 1922 numbered 61,221 as compared with 56,259 in 1921. The death-rate per thousand of the civil population was 13.5 as against 12.5 in 1921. In this report, following official practice, the deathrates are calculated upon the civil population and deaths among civilians: only two London boroughs, however, maintain a considerable ruin-civilian population,. namely, Westminster and Woolwich, the numbers in 1922 being 2,410 and 4,100 respectively.",LondonCountyCouncil,"married,women",bigram search,b18252692,LondonCountyCouncil.1922.b18252692.txt,1922
"62 members. The average population and electorate respectively are 72,331 and 33,935. The City of London returns two members though the census population is only 13,709 or 6,855 per member ; whereas, in Holborn the population is 43,192 per member. The population exceeds 100,000 in fiveconstituencies, namely, Deptford, Greenwich, Islington (North), St. Marylebone and Shoreditch. For the County of London the electorate forms 93.4 per cent. of the male population and 79.9 per cent. of the female population in the age classes above 21 for males and above 30 for females. Most of the women on the Parliamentary Register are married women who derive their right to the franchise because of their husband's occupation of premises. Buildings, Dwellings, Rooms and Families. A new term has been introduced as the housing unit serving as the basis of the returns. This is called a "" structurally separate dwelling "" and it means any room or set of rooms having separate access either to a street or to a common landing or staircase accessible to visitors. Each flat in a block of flats is a separate unit. A private house which has not been structurally divided is a single unit, whether occupied by",Deptford,"married,women",bigram search,b20106798,Deptford.1922.b20106798.txt,1922
"increase in the number of widows reflects the toll exacted by the late war. Births. In order to obtain a more correct estimate of the birth-rate than is shown by calculating it on the total population, it is necessary to ascertain the number of women living at child-bearing ages; extracting the figures from the Returns, I find that the numbers between 15 and 45 years of age were in:— - Unmarried. Married. Widows. 1901 39,029 19,274 1,938 1911 35,602 15,999 1,623 1921* 30,216 14,740 1,771* * And 106 divorced. The legitimate birth-rate in these years calculated on the number of married women between those ages was:— 165 per 1,000 in 1901. 137 „ „ 1911. 117 „ „ 1921. It is often alleged that this reduction is due to deliberate restriction in the size of families, but consideration of the figures leads to the conclusion that there are other influences which play an important part. It is known that age has an important bearing upon fecundity in women, declining gradually from round about the age of 20 when every hundred marriages may result in about 40 children within a year, until between 40 and 45 when only five children might",CityofWestminster,"married,women",bigram search,b18247842,CityofWestminster.1922.b18247842.txt,1922
"and 22.1 in 1921. The birth-rates for each metropolitan borough and for London as a whole will be found in the table on p. 57 ; and the movement in the London birth-rate since 1840 is shown in the diagram on p. 6. Births. The downward movement of the birth-rate, dating back to the early eighties, is maintained. The decline in the birth-rate and fertility rate in London boroughs in relation to the reduction in infant mortality between the three-year periods 1911-13 and 1921-23 is shown in the appended table. Metropolitan Borough. Birth-rate per 1,000 living. Legitimate births per 100 married women aged 15-45. Infant mortality (Deaths per 1,000 births). 1911-13. 1921-23 Decrease per cent. 1911-13 1921-23. Decrease per cent. 1911-13 1921-23 Decrease per cent. Paddington 21.3 18.9 11.1 17.6 14.3 18.7 109 76 29.8 Kensington 19.2 18.1 5.7 18.0 15.4 14.1 112 87 22.3 Hammersmith 24.0 20.6 14.2 18.5 15.7 15.1 114 74 35.1 Fulham 27.0 20.7 23.4 19.3 15.0 22.3 105 72 31.2 Chelsea 19.1 16.6 13.1 17.2 15.0 12.6 91 67 25.7 Westminster, City of 14.6 13.1 10.7 13.4 11.3 15.7 95 61 35.9 St. Marylebone 19.6 16.2 17.4 16.4 13.2 19.7 97 70 28.4 Hampstead 15.0",LondonCountyCouncil,"married,women",bigram search,b18252709,LondonCountyCouncil.1923.b18252709.txt,1923
"in the Borough is given in the Census Report as 17,853; of this number 14,728 are stated to be gainfully occupied. The total number of females over 12 is given as 19,652; of this number 10,333 were described as gainfully occupied. The following table gives the population in Holborn over 12 years of age in relation to marriage and occupation:— Males. Females. Single. Married. Widowed or Divorced. Single. Married. Widowed or Divorced. Total 8 708 8,297 947 9,415 7,741 2,496 Number occupied 6,643 7,296 689 7,149 1,830 1,354 Number not occupied 2,065 901 159 2,266 3,911 1,142 The number of married women occupied away from their homes is equal to 23.7 per cent. of the total number of married women in the Borough. This high percentage of wives following an occupation is exceeded in London only in the City of London, where the proportion is 30.6 per cent., and in the Borough of Shoreditch, 24.1 per cent.; Holborn is closely followed by Finsbury with 23.1 per cent.; at the other end of the scale we have Woolwich with 5.3 per cent., Lewisham 6.1 per cent., Wandsworth 7.8 per cent., and Stoke Newington 10.2 per cent. The chief occupations of the",Holborn,"married,women",bigram search,b18116565,Holborn.1923.b18116565.txt,1923
"223 1205 23 This table shows that 45.8 per cent. of the male population in Ilford are married and 51.4 per cent. are single, and that 39.5 per cent. of female population are married and 52.7 per cent. single. In actual numbers, however, there were only 17,711 married men present as compared with 18,378 married women. The total numbers returned as divorced were 16 males and 24 females. The proportion of married men is higher in Ilford than in the county as a whole, and also exceeds the averages for East Ham, West Ham, Leyton and Walthamstow. The proportion of married women shows a much smaller excess over the county average but is higher than those for all the four above-mentioned towns, except East Ham. The appended list shows the occupations followed by the largest number of persons living in Ilford:— Males. Females. Clerks 4,904 3,351 Domestic servants (indoor) 51 2,036 Salesmen and shop assistants 1,113 949 Proprietors and managers of wholesale and retail business 1,197 178 Civil Service officials and clerks 895 256 Teachers 392 696 Commercial travellers 825 12 General labourers 748 9 Local Authorities. Officials and Clerks 450 49 Postmen and sorters 423 7 Carpenters 388 —",Ilford,"married,women",bigram search,b19969910,Ilford.1923.b19969910.txt,1923
